current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
,,984075446227,786472432910,,,,,,17217462678653,,,,,10942151906389,3519571231523,6275310772264,10414188640168.0,9714441843944.0,,,,,,,,,,-138776906437.0,-1554754530504,129534007631,,,,2016
,,353530365169,769649609817,,,,,,13818113112135,,,,,8020660443379,3198433128357,5797452668756,7901235154581.0,10414188640168.0,,,,,,,,,,-340748297267.0,540067546739,-74448308937,,,,2017
,,945975871006,419096173138,,,,,,14282891986284,,,,,7536612429439,2800081281217,6746279556845,5265119547241.0,7901235154581.0,,,,,,,,,,,165522614156,369272989742,,,,2018
,,384251205560,472930511642,,,,,,13600084435896,,,,,8351155863402,1502203909882,5248928572494,7349656035614.0,5265119547241.0,,,,,,,,,,-2170.0,-681209310561,-117702636011,,,,2019
,,987151865443,526166006573,,,,,,12922170785868,,,,,9203939004269,30085274805,3718231781599,6860317642496.0,7349656035614.0,,,,,,,,,,-1492699901584.0,-243903394205,-166776709079,,,,2020
,,571214288727,599476184559,,,,,,12138595961258,,,,,8041328855444,-1355173763477,4097267105814,6622001487326.0,6860317642496.0,,,,,,,,,,-1452069565718.0,845026468770,99780759079,,,,2021
,,919191704413,113168773041,,,,,,14491697984864,,,,,10919760587958,-1958926961561,3571937396906,5944667452285.0,6622001487326.0,,,,,,,,,,-627411807133.0,-1693020710821,1102067053512,,,,2022
,,583811700104,155368148597,,,,,,15593389152394,,,,,15593389152394,-2168677854589,3409207598067,,,,,,,,,,,,-155556375770.0,-516466559463,-194744488793,,,,2023
,,955961848816,47755088796,,,,,,17194637128138,,,,,17194637128138,-2136027131480,3749451105353,9903077919464.0,8009429912108.0,,,,,,,502698683088.0,233344768042.0,,53877228765.0,654519940133,310527356488,,,,2024
,,772614649370,311797002761,,,,,,14948871093928,,,,,14948871093928,-1602845166946,4095039935055,10650010702818.0,9903077919464.0,,,,,,,862210880029.0,502698683088.0,,535753735212.0,1562848761939,-480379865919,,,,2025
