current_assets,prev_current_assets,cash,inventory,ppe_net,prev_ppe_net,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,total_assets,total_liabilities,equity_corrected
,,795810686641,,,,,,,,318388325948,4337585298432.0,6033040463975,6176258143768,,,,,,,32082609343,366791153598,,22914358716.0,679643759241,-1186341529355,,,,2016,,,
,,444609329777,,,,,,,,383977481806,,6838474133399,6033040463975,,,,,,,2189,243,,,775766668252,-1232276905640,,,,2017,,,
,,1002374471773,,,,,,,,1226978445193,,8193023252994,6838474133399,,,,,,,1018052799586,306203428562,,685018514202.0,1640496362856,-698089960161,,,,2018,,,
,,803810427528,,,,,,,,1413912972039,,8040817645787,8002008033000,,,,,,,619476933839,804859242770,,,1285068685680,-517043108139,,,,2019,,,
,,1479767416889,,,,,,,,1592001275871,,8208738308011,7718297731849,,,,,,,829130678277,740923798687,,623811177841.0,1747183037233,-732395953156,,,,2020,,,
,,1185206917554,,,,,,,,2090356960216,,9675036127726,7753259286388,,,,,,,1486872833804,912738676759,,915432452695.0,1866485418998,-845055643288,,,,2021,,,
,,1677067099648,,,,,,,,2304746822612,,9424551868027,9675036127726,,,,,,,1182835924271,1486872833804,,993519182170.0,1882897371147,-1327570884866,,,,2022,,,
,,1669189597138,,,,,,,,2030411122731,,8909448483915,9424551868027,,,,,,,639423737120,1182835924271,,450482125173.0,1180360115518,-1022849383931,,,,2023,11657871601848.0,3627546626400.0,
,,2013326031516,,,,,,,,2524929947839,9015854031770.0,10294102976435,8892411942806,,,,,,,735005856995,660544454780,,703215637082.0,1429819006720,-805868041786,,,,2024,12792402920884.0,3776548889114.0,
,,2701205916236,,,,,,,,2782232181588,,11314459238100,10294102976435,,,,,,,913331178557,735005856995,,730989517218.0,1490090883051,-1222877649854,,,,2025,,,
