ticker,ask_price_1,ask_vol_1,ask_price_2,ask_vol_2,ask_price_3,ask_vol_3,ask_price_4,ask_vol_4,ask_price_5,ask_vol_5,bid_price_1,bid_vol_1,bid_price_2,bid_vol_2,bid_price_3,bid_vol_3,bid_price_4,bid_vol_4,bid_price_5,bid_vol_5,total_ask_vol,total_bid_vol,order_imbalance,spread,spread_pct,bid_depth_ratio,timestamp
124500,47950,309,48000,294,48050,26,48100,5,48250,549,47750,102,47700,83,47650,23,47600,98,47550,42,1183,348,-0.545395166554243,200,0.4188481675391793,0.2931034482674395,2026-05-18 09:04:24
124500,46850,75,46900,108,47050,30,47200,31,47350,121,46550,19,46500,195,46450,49,46400,3,46350,40,365,306,-0.0879284649763349,300,0.6444683136411076,0.0620915032659447,2026-05-18 09:13:43
124500,47800,217,47950,277,48000,103,48100,173,48200,500,47700,121,47650,80,47600,101,47550,222,47500,100,1270,624,-0.3410770855314621,100,0.209643605869977,0.1939102564071488,2026-05-18 09:23:53
124500,46900,145,47100,27,47150,139,47200,36,47400,3,46800,5,46750,89,46700,243,46650,25,46600,442,350,804,0.3934142114350658,100,0.213675213675168,0.0062189054725594,2026-05-18 09:35:13
124500,47350,380,47450,559,47500,104,47550,100,47600,4,47200,44,47150,11,47100,329,47050,183,47000,720,1147,1287,0.0575184880852197,150,0.3177966101694242,0.0341880341877685,2026-05-18 09:49:09
124500,47500,79,47600,27,47650,32,47700,539,48000,113,47450,106,47400,335,47350,33,47300,108,47250,27,790,609,-0.1293781272328136,50,0.1053740779767955,0.1740558292253849,2026-05-18 10:02:31
124500,47850,95,48000,169,48050,20,48100,10,48150,1,47650,1,47550,94,47500,1,47450,70,47400,206,295,372,0.1154422788588389,200,0.4197271773346444,0.0026881720429384,2026-05-18 10:17:53
124500,48500,192,48550,497,48600,1,48700,20,48800,1,48250,85,48200,556,48150,796,48100,168,48050,65,711,1670,0.4027719445594171,250,0.5181347150257993,0.0508982035925095,2026-05-18 10:29:42
124500,48850,201,48900,174,48950,107,49000,270,49050,4,48800,1,48750,36,48700,4,48650,6,48600,126,756,173,-0.6275565123721468,50,0.1024590163934216,0.0057803468204751,2026-05-18 10:42:26
124500,48800,33,48850,140,48900,104,48950,107,49000,311,48650,12,48600,10,48550,10,48500,10,48450,49,695,91,-0.7684478371403505,150,0.30832476875636,0.1318681318536408,2026-05-18 10:52:27
124500,49150,19,49200,300,49250,7,49300,61,49350,351,49100,10,49050,175,49000,16,48950,10,48900,1,738,212,-0.5536842105204876,50,0.1018329938899996,0.0471698113185297,2026-05-18 11:02:24
124500,50000,212,50200,26,50300,12,50500,51,50600,16,49950,60,49900,74,49850,345,49800,250,49750,332,317,1061,0.5399129172674898,50,0.10010010010008,0.0565504241276479,2026-05-18 11:12:28
124500,49950,100,50000,636,50200,120,50300,1,50500,22,49850,7,49800,175,49750,78,49700,80,49650,50,879,390,-0.3853427895950722,100,0.2006018054162085,0.0179487179482577,2026-05-18 11:23:32
124500,49850,165,49900,161,49950,1063,50000,630,50100,200,49600,174,49550,11,49500,633,49450,30,49400,20,2219,868,-0.4376417233545914,250,0.5040322580644145,0.2004608294907781,2026-05-18 11:33:55
