current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,interest_expense
,,,,,,,,9954538691643.0,,,,,5261597935408,2099976587506,4692940756235,2947485624099,2563985167558,,,,,,,,,,323364948921,338736359970,-895644439906,,,,2016,
,,,,,,,,10151705101969.0,,,,,5232178310572,2245960928035,4919526791397,3871416070963,2947485624099,,,,,,,345695650612.0,251398879006.0,,213610456649,357355145859,-264602057348,,,,2017,
,,,,,,,,11101280507037.0,,,,,6099112835740,2439183611257,5002167671297,5185683014096,3871416070963,,,,,,,397350381386.0,345695650612.0,,284880100228,331265089293,-592577337323,,,,2018,
,,,,,,,,13018488597582.0,,,,,7503358313766,2920928193727,5515130283816,6394223581591,5185683014096,,,,,,,467798272893.0,397350381386.0,,593123359795,789940311999,-71497737973,,,,2019,
,,,,,,,,12769110974270.0,,,,,7711856252229,2788209904631,5057254722041,4769279391849,6394223581591,,,,,,,88483188736.0,467798272893.0,,-69137654789,552374855466,-389142592933,,,,2020,
,,,,,,,,13644510517083.0,,,,,7882059338197,3084466650750,5762451178886,6316435934254,4769279391849,,,,,,,517400647833.0,88483188736.0,,388866619073,1104485593489,-825385476313,,,,2021,
,,,,,,,,14348412322688.0,,,,,8096632950057,3479352824709,6251779372631,7812755198909,6316435934254,,,,,,,645448993543.0,517400647833.0,,547639875232,903136486956,-774107465451,,,,2022,
,,,,,,,,14751983355128.0,,,,,14751983355128,3655198026314,6339988828490,6357088542148,7812755198909,,,,,,,,,,311968012608,791433048452,-912218823795,,,,2023,
,,,,,,,,15071774121951.0,,,,,15071774121951,3717641497276,6374698444225,6570412728809,6357088542148,,,,,,,,,,186608863964,775837615719,-981379469156,,,,2024,
,,,,,,,,,,,,,15833341277876,3657624531996,6572365891815,6929498818333,6570412728809,,,,,,,,,,64603501354,990582722093,-645975743278,,,,2025,
