current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
,,7890089000000,7361735000000,,,,,,178835928000000,,,,,106491350000000,64361408000000,72344578000000,93649024000000,91958736000000,,,,,,,5193500000000,6357906000000,,5719653000000,996964000000,-6311750000000,,,,2016
,,8821529000000,7745829000000,,,,,,178199454000000,,,,,103442100000000,67332328000000,74757354000000,96376079000000,93649024000000,,,,,,,4574667000000,5193500000000,,4546400000000,3922421000000,-4744413000000,,,,2017
,,9113625000000,7936319000000,,,,,,180655752000000,,,,,106759742000000,66490082000000,73896010000000,96812609000000,96376079000000,,,,,,,2422165000000,4574667000000,,1645019000000,3764265000000,-2415064000000,,,,2018
,,8681971000000,7292626000000,,,,,,194512220000000,,,,,118146466000000,68249633000000,76365754000000,105746422000000,96812609000000,,,,,,,3605505000000,2422165000000,,3185646000000,419784000000,-5929184000000,,,,2019
,,9862136000000,7219695000000,,,,,,209344212000000,,,,,133003242000000,68911800000000,76340970000000,103997601000000,105746422000000,,,,,,,2394671000000,3605505000000,,1924553000000,-409807000000,-9337596000000,,,,2020
,,12795554000000,6949333000000,,,,,,233946415000000,,,,,151330626000000,73167855000000,82615789000000,117610626000000,103997601000000,,,,,,,6678949000000,2394671000000,,5693077000000,-1176416000000,-5182579000000,,,,2021
,,20864879000000,5774597000000,,,,,,255742462000000,,,,,164845917000000,79953601000000,90896545000000,142527535000000,117610626000000,,,,,,,9819769000000,6678949000000,,7983614000000,10627311000000,-1203495000000,,,,2022
,,19166619000000,7339968000000,,,,,,282463355000000,,,,,180653915000000,88665805000000,101809440000000,162663579000000,142151469000000,,,,,,,15126901000000,9824928000000,,12272301000000,-2518760000000,-8649391000000,,,,2023
,,19014944000000,8473108000000,,,,,,339798429000000,,,,,219522496000000,96595668000000,120275933000000,175231153000000,162663579000000,,,,,,,14239592000000,15126901000000,,13229908000000,-5661641000000,-14623489000000,,,,2024
,,18360566000000,5857507000000,,,,,,368844849000000,,,,,241196612000000,101311761000000,127648237000000,186254472000000,175231153000000,,,,,,,11467851000000,14239592000000,,10364775000000,-5991270000000,-10347129000000,,,,2025
