date,short_proxy_vol,short_proxy_foreign,short_proxy_score
2026-01-20,0.0,0,0.0
2026-01-21,0.0,0,0.0
2026-01-22,0.0,0,0.0
2026-01-23,0.0,0,0.0
2026-01-26,0.785,0,0.392
2026-01-27,0.0,0,0.0
2026-01-28,0.0,1,0.5
2026-01-29,0.0,0,0.0
2026-01-30,0.0,0,0.0
2026-02-02,1.365,0,0.682
2026-02-03,0.0,0,0.0
2026-02-04,0.0,0,0.0
2026-02-05,1.134,0,0.567
2026-02-06,1.108,0,0.554
2026-02-09,0.0,0,0.0
2026-02-10,0.0,0,0.0
2026-02-11,0.0,0,0.0
2026-02-12,0.0,0,0.0
2026-02-13,0.0,0,0.0
2026-02-19,0.0,0,0.0
2026-02-20,0.0,0,0.0
2026-02-23,0.0,0,0.0
2026-02-24,0.0,0,0.0
2026-02-25,0.0,0,0.0
2026-02-26,0.0,1,0.5
2026-02-27,1.196,0,0.598
2026-03-03,1.223,0,0.612
2026-03-04,1.676,0,0.838
2026-03-05,0.0,0,0.0
2026-03-06,0.0,0,0.0
2026-03-09,0.867,0,0.434
2026-03-10,0.0,0,0.0
2026-03-11,0.0,0,0.0
2026-03-12,0.617,0,0.308
2026-03-13,0.817,0,0.408
2026-03-16,0.0,0,0.0
2026-03-17,0.0,0,0.0
2026-03-18,0.0,0,0.0
2026-03-19,1.086,0,0.543
2026-03-20,0.0,0,0.0
2026-03-23,1.373,1,1.186
2026-03-24,0.0,0,0.0
2026-07-21,0.0,0,0.0
