total_assets,depreciation,ppe_net,prev_ppe_net,total_equity,retained_earnings,total_liabilities,revenue,prev_revenue,income_tax,interest_expense,net_income,operating_income,prev_operating_income,sga_expense,prev_sga,cash,short_term_debt,capex,cash_from_operations,roe,debt_ratio,opm,year
10609935089040,406829609831,92598434057,91852232446,1688472265975,1402301579661,8921462823065,30422727068,34079432044,32933609887,189236796820,149387962241,170377256793,115634691078,187871696097,172374532620,303513411584,0,-8977105755,-664508717254,,,,2024
10379574597460,340652921509,88381079819,92598434057,1832693975299,1543758084462,8546880622161,45632976666,30422727068,36960252429,211522077540,112278184228,136145617008,170377256793,194662234188,187871696097,223924011424,0,107825378048,-442109352801,,,,2025
