current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,capex,short_term_investments,roe,debt_ratio,opm,year,interest_expense
,,191036026516,,,,,,1092468725437,,,302702437802,780815611884,789766287635,1223106398233,1179714929885,,,,,,,,,,88282576502,123372798907,33438567064,79814228865,120006429600.0,,,,2016,
,,98075644874,,,,,,1199997804726,,,294923493451,896758027041,905074311275,1236779010362,1223106398233,,,,,,,,,,135958767151,132848470067,34492460741,-193356203681,-233706782791.0,,,,2017,
,,38461477917,,,,,,1280921374857,,,296785560812,976218318829,984135814045,1242452044205,1236779010362,,,,,,,191519089800.0,164053250318.0,,161330977490,130092768154,36658628011,-123677096475,517484525664.0,,,,2018,
,,26266467489,,,,,,1359433324644,,,296015246267,1055101667040,1063418078377,1246949702480,1242452044205,,,,,,,193939463944.0,191519089800.0,,153331330778,160557174817,40912083505,-88660682238,349888767045.0,,,,2019,
,,35422241726,,,,,,1349869091450,,,298187344931,1043358433303,1051681746519,1303201766114,1246949702480,,,,,,,135401954143.0,193939463944.0,,87058311859,74556838047,40235825620,27046726697,218067159450.0,,,,2020,
,,74036155850,,,,,,1426920122047,,,314925081583,1103609810111,1111995040464,1380553428993,1303201766114,,,,,,,123989281498.0,135401954143.0,,98680314610,133292560696,42086876330,-39778257418,110000000000.0,,,,2021,
,,122574292284,,,,,,1562022195345,,,346288975190,1207413493138,1215733220155,1429074836456,1380553428993,,,,,,,130553250828.0,123989281498.0,,100181910047,81342892673,45203439386,27285593417,100000000000.0,,,,2022,
,,49082349367,,,,,,1597333550834,,,324737142894,1263818459466,1272596407940,1533850791494,1429074836456,,,,,,,199376381248.0,130553250828.0,,162677361139,-38101052159,1593430674,30281184384,85900000000.0,,,,2023,
,,99727365847,,,,,,1690214811558,,,1690214811558,1318557516231,1328473540425,1557085808533,1533850791494,,,,,,,,,,172441205945,540465814512,1498209700,-380338402714,,,,,2024,
,,145552915316,,,,,,1703560488139,,,1703560488139,1335398314737,1345856312213,1576516811328,1557085808533,,,,,,,,,,124251563177,135731103199,4264286220,35661504177,,,,,2025,
