current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,sga_expense,prev_sga
154891864189,121834639440,46315099990,28550000000,56755326608.0,45781329107.0,19563475004,23842197228,19713468319,195121240865.0,27477608481,21007556549,115459162,37853661250.0,135012231346,157267579615.0,171793841384,145904431119,63856136030,56896177279,107937705354,89008253840,33184487902,23449592616,35919074000,29723732532,29234877751,-7025365720,,,,2016,,
161356540556,154891864189,46011955127,19580058874,70797504291.0,56755326608.0,22300525264,25337806032,23842197228,205207384944.0,32283948034,27477608481,0,43890214327.0,156696147840,161317170617.0,203368626100,171793841384,71899521834,63856136030,131469104266,107937705354,43748905011,33184487902,32838775291,26734105116,19941301054,5201174213,,,,2017,,
227563738544,161356540556,23211456110,79745286330,86048004864.0,70797504291.0,31398343554,33117594485,25337806032,279059436108.0,40471875427,32283948034,0,53192796903.0,189588046738,225866639205.0,238208864847,203368626100,89336707168,71899521834,148872157679,131469104266,45983316420,43748905011,52786075908,42309672225,21765311480,-72484066617,,,,2018,72840850414.0,62657011460.0
225797248359,227563738544,27196309698,74320186989,84191870450.0,86048004864.0,36331528748,37283939884,33117594485,305481183830.0,38413934857,40471875427,0,61812656261.0,209875240970,243668527569.0,222057035472,238208864847,80865005061,89336707168,141192030411,148872157679,33331312300,45983316420,37995631675,29559680081,29168421873,-7879554908,,,,2019,77614404157.0,72840850414.0
193413611632,225797248359,44068122801,46550000000,62297810218.0,84191870450.0,36372234129,35810839690,37283939884,302574460896.0,31177645637,38413934857,1071313714,56516358154.0,211989313982,246058102742.0,179545133940,222057035472,66422474786,80865005061,113122659154,141192030411,15842903269,33331312300,11237883358,9161038005,37796429425,-7825412269,,,,2020,65121290097.0,77614404157.0
272142026690,193413611632,67496298609,79613182209,78217023233.0,62297810218.0,42459445026,39712311288,35810839690,368329267167.0,47498158914,31177645637,6133000000,87929904850.0,244321310924,280399362317.0,247301342081,179545133940,90089912772,66422474786,157211429309,113122659154,41351274821,15842903269,50623085522,39586268577,42480322829,-12063397303,,,,2021,72651155420.0,65121290097.0
286509847894,272142026690,49880850744,86756554884,,,44622996554,54460423956,39712311288,391686493023.0,58305668638,47498158914,6133000000,86511583085.0,275351065559,305174909938.0,275359587202,247301342081,98697084218,90089912772,176662502984,157211429309,44258682098,41351274821,50419495591,39283548838,29302033637,-23792848155,,,,2022,83656129088.0,72651155420.0
272289910658,286509847894,28145180291,97970904032,,,49958785920,45563962549,54460423956,367212257805.0,39821272426,58305668638,0,61894392837.0,288347726297,305317864968.0,225630691398,275359587202,80118409586,98697084218,145512281812,176662502984,20372226090,44258682098,8657890909,21925959777,29540204383,-12832419308,,,,2023,83515542571.0,83656129088.0
284011001294,272289910658,53545477532,97907656369,,,50137553407,46735082339,45563962549,377932270492.0,36095207500,39821272426,0,54763375690.0,299166639626,323168894802.0,202538127214,225630691398,76686427777,80118409586,125851699437,145512281812,3322352718,20372226090,7138147554,20998990602,36395606644,2520431970,,,,2024,81462899479.0,83515542571.0
308322946324,284011001294,38350539836,106020898498,,,50674538030,49043940152,46735082339,,61510896686,36095207500,0,,307787600024,,232647218656,202538127214,84073109625,76686427777,148574109031,125851699437,17342338477,3322352718,3793769993,14756087568,18090229309,-18473867719,,,,2025,97455180210.0,81462899479.0
