current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
,,1369500991930,213506823569,,,,,,24832568190355,,,,,18009737274319,704507685246.0,6822830916036,13892680512183,14470549808958,,,,,,,791172822203.0,-27331742038.0,,-215524785947,967566785961,804766783274,,,,2016
,,1970147004768,237662748168,,,,,,24929774707934,,,,,18452088873921,314235425518.0,6477685834013,14518845928726,13952279021391,,,,,,,830232035725.0,798184941634.0,,-197950236801,429324784710,-457137175002,,,,2017
,,2075328693318,392294778458,,,,,,24810203016469,,,,,18688381801780,-245516962816.0,6121821214689,14743600024720,13836617280335,,,,,,,1000595715833.0,817931910712.0,,-430071231297,989560098943,-792967954882,,,,2018
,,1441280687215,268320160761,,,,,,24774211975046,,,,,18788110053955,,5986101921091,15570428849347,14743600024720,,,,,,,,,,-223649869387,433679709050,-579672423227,,,,2019
,,2336795020568,316762603159,,,,,,25567174291104,,,,,18460677610119,,7106496680985,15243824665369,15570428849347,,,,,,,,,,-622554709114,295223700800,-525976937000,,,,2020
,,1908603989132,519150027683,,,,,,23720545628641,,,,,14912949983920,773234887563.0,8807595644721,11283610608993,9171512226435,,,,,,,,,,645821146630,1027716202327,-1265687915716,,,,2021
,,1395837596356,105780374651,,,,,,23049781799921,,,,,12969491516052,58813720119.0,10080290283869,15421058082388,10990890215857,,,,,,,,,,-453149865549,625077721382,-71130551047,,,,2022
,,2620186984799,118271676341,,,,,,24640833945624,,,,,13799325009099,1184531890516.0,10841508936525,17589887709510,15421058082388,,,,,,,1467318338124.0,1106120868237.0,,517521903042,2070633291076,-816628473871,,,,2023
,,2898298000000,143577000000,,,,,,26314835000000,,,,,14653743000000,1394448000000.0,11661092000000,16233055000000,17589888000000,,,,,,,1017600000000.0,1467318000000.0,,394689000000,242204000000,-821399000000,,,,2024
,,3080997000000,107870000000,,,,,,27513223000000,,,,,15503853000000,1696327000000.0,12009370000000,17057876000000,16233055000000,,,,,,,762712000000.0,1017600000000.0,,205163000000,751801000000,-310571000000,,,,2025
