current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,sga_expense,prev_sga,short_term_debt,long_term_debt
,,3015137000000,,,,,,37855269000000,,,24498527000000,9233416000000,13356742000000,55367033000000,56509008000000,,,,,,,,126315000000,3157990000000,-2390720000000,,,,2016,,,,
,,3350597000000,,,,,,41220959000000,,,26547275000000,10964155000000,14673684000000,61396284000000,55367033000000,,,,,,,,1869518000000,2166270000000,-2582872000000,,,,2017,,,,
,,4270388000000,,,,,,44328443000000,,,28021536000000,12075414000000,16306907000000,61341664000000,61396284000000,,,,,,,,1472814000000,4541566000000,-4420289000000,,,,2018,,,,
,,4777368000000,,,,,,44859875000000,,,28434737000000,11857302000000,16425138000000,62306175000000,61341664000000,,,,,2436139000000.0,2703291000000.0,,179948000000,3689164000000,-2083257000000,,,,2019,,,,
,,5896309000000,,,,,,48204227000000,,,30662102000000,13652837000000,17542125000000,63262046000000,62306175000000,,,,,3194987000000.0,2436139000000.0,,2063790000000,4628576000000,-2314521000000,,,,2020,,,,
,,6051516000000,,,,,,53481478000000,,,33383445000000,14433587000000,20098033000000,74721629000000,58057908000000,,,,,,,,2564833000000,2677382000000,-2465536000000,,,,2021,,,,
,,6322360000000,,,,,,55156141000000,,,32664144000000,15834021000000,22491997000000,83467318000000,73907984000000,,,,,,,,2007504000000,3107839000000,-3227546000000,,,,2022,,,,
,,8487563000000,,,,,,60240793000000,,,36742257000000,16201439000000,23498536000000,84227765000000,83467318000000,,,,,3549074000000.0,3550972000000.0,,1150611000000,5913596000000,-5289705000000,,,,2023,,,,
,,7573036000000,,,,,,65629589000000,,,40417925000000,16352773000000,25211664000000,87728182000000,82262664000000,,,,,3419675000000.0,3653294000000.0,,591365000000,3842661000000,-4211873000000,,,,2024,,,,
,,8769841000000,,,,,,68620167000000,,,40068142000000,17419333000000,28552025000000,89200882000000,87728182000000,,,,,2478392000000.0,3419675000000.0,,1220412000000,4280500000000,-3013603000000,,,,2025,,,,
