current_assets,prev_current_assets,cash,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,accounts_receivable,prev_accounts_receivable,depreciation
554445655784,460251907270,150112317764,67647129119,220572073281,207628949919,899418180661.0,337751677042,316102047232,17004790975,3000000000,357885198388.0,529204237705,541532982273.0,1934547148891,1710544310317,1335770026774,1185074214442,598777122117,525470095875,439183723145,378737103926,159593398972,146732991949,170109105809,127527431740,153988597795,-53357552664,,,,2016,,,
412446117791,554445655784,75449525328,73097402317,314725349992,220572073281,975706062946.0,406461474380,337751677042,107672245768,43000000000,468089699966.0,601660904373,507616362980.0,2062514511785,1934547148891,1464195301907,1335770026774,598319209878,598777122117,457773894050,439183723145,140545315828,159593398972,138232538839,95937543262,66217226100,-154308681409,,,,2017,132786057869.0,127478205549.0,
439783524495,412446117791,81882702362,66672817002,259887146909,314725349992,,299904683175,406461474380,20858906635,3000000000,,667865099172,,1928463279284,2062514511785,1416652352065,1464195301907,511810927219,598319209878,455777697953,457773894050,56033229266,140545315828,124702617180,89957037174,63738443632,50117875171,,,,2018,,,
478670833491,439783524495,144506704186,81800486951,491349901932,259887146909,,407327091501,299904683175,40542987262,7996179171,,694459028639,,1698372284996,1928463279284,1224850418790,1416652352065,473521866206,511810927219,417451455726,453220951729,55771809993,56033229266,74458578229,42714881895,79444644445,17981342947,,,,2019,,,298600487.0
520897791205,478670833491,105730217965,84414656586,461253331335,491349901932,,439531877947,407327091501,66702486931,0,,738328630000,,2067468662697,1698372284996,1525159297360,1224850418790,542309365337,473521866206,447962840877,417451455726,93106900590,55771809993,95490467958,66840591853,193138068776,-100070335472,,,,2020,,,1239623870.0
457545895284,520897791205,117670461895,109547327244,503025022404,461253331335,1246352553431.0,391732959673,439531877947,25422046877,0,624662475163.0,774831984238,621690078268.0,2231220949302,2067468662697,1645142116254,1525159297360,586078833048,542309365337,516814572616,449202464747,69264260432,93106900590,83345802435,57218186850,28444236201,108275054087,,,,2021,97852738291.0,75584043000.0,
371956679283,457545895284,37474473662,120687477355,421036769582,503025022404,1099679540571.0,463658975053,391732959673,52907598225,25000000000,654251595301.0,688590229484,445427945270.0,2000906065724,2231220949302,1561690219991,1659781706356,439215845733,571439242946,460906091122,502174982514,-21690245389,69264260432,-83461021812,-71320632594,-21278605775,80888990452,,,,2022,,,
367823428368,371956679283,81947249619,109585248383,415425669240,421036769582,1051517418790.0,522859212511,463658975053,44451215628,30000000000,1051517418790.0,547609166980,342770354219.0,11554955158,28498353773,1534585458777,1561690219991,432361575042,439215845733,430414966190,460906091122,1946608852,-21690245389,-49400709252,-62155231507,80390183205,25075414432,,,,2023,726976800.0,0.0,
512253408952,367823428368,59660729187,105063841353,338274413112,415425669240,1067251785665.0,472039476175,522859212511,88366116720,40000000000,1067251785665.0,553430809765,350663939878.0,1908390760197,1966947033819,1464559401824,1534585458777,443831358373,432361575042,412602042617,430414966190,31229315756,1946608852,39042451152,151137006442,48892466562,90981225572,,,,2024,95897443681.0,130603145044.0,
500175652895,512253408952,98241927402,76879098932,305496470994,338274413112,992956864953.0,407254104192,472039476175,96981921492,0,992956864953.0,607051645282,399759358345.0,1744538347428,1908390760197,1312318424360,1464559401824,432219923068,443831358373,413728588206,412602042617,18491334862,31229315756,48780713734,46281084361,69368697267,31350985879,,,,2025,62771805498.0,95897443681.0,
