depreciation,total_assets,ppe_net,prev_ppe_net,total_equity,retained_earnings,total_liabilities,long_term_debt,revenue,prev_revenue,income_tax,interest_expense,net_income,operating_income,prev_operating_income,cash,capex,cash_from_operations,roe,debt_ratio,opm,year,equity_corrected
34629251000000,691795333000000,,,56321865000000.0,36387314000000,691795333000000,,,,,,4478000000000,6100850000000,5905564000000,24413946000000,-4271713000000,529846000000,,,,2023,
40525712000000,739764256000000,,,,39020580000000,739764256000000,,,,,,4558170000000,6458670000000,6100850000000,30416884000000,148533000000,4626299000000,,,,2024,
39742605000000,786013485000000,,,60372324000000.0,41796129000000,786013485000000,,,,,,5084519000000,7023357000000,6458670000000,35247543000000,-10903780000000,9730881000000,,,,2025,
