current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_debt,roe,debt_ratio,opm,year,short_term_investments
2150982028475,1993515866227,425160400983,930890053852,999077410412,429724145263,1178144090379,1092715577406,3859737521306,1463430182446,1430928432568,43527043465,1974831434146,1936589780717,1884906087160,5703714576919,5558080871335,4804845996828,4697001621187,898868580091,861079250148,476320431807,501529108096,422548148284.0,359550142052.0,415652551925,303755866311.0,389169850735,-451877609503,240292756629,,,,2016,
2241264132094,2150982028475,567258577099,1143811753111,1196550876252,468642506848,1262003089633,1178144090379,4119580910340,1299490306773,1463430182446,77097481,2088135769997,2073817232435,2031445140343,5585673304390,5703714576919,4639441988628,4804845996828,946231315762,898868580091,477794628361,476320431807,468436687401.0,422548148284.0,421505373264,298403188234.0,566650679380,-346509451236,267897832743,,,,2017,7500000000.0
2859201102970,2241264132094,1017786118643,1294018407861,1143811753111,505805263228,1551451094347,1262003089633,5355780831974,1867112059528,1299490306773,184646625,3224124651287,2179604829752,2131656180687,5937585095470,5585673304390,5024860691415,4639441988628,912724404055,946231315762,478948396835,477794628361,433776007220.0,468436687401.0,379621484906,283697419659.0,471265021948,-576723472356,618452475480,,,,2018,12500000000.0
2922368562593,2859201102970,686657130299,1173348286705,968851510632,612826719001,2130362430371,1551451094347,7082369012654,2091463307171,1867112059528,49994430325,4744866815510,2318191994523,2337502197144,7154152588581,5937585095470,6119860294890,5024860691415,1034292293691,912724404055,550481856992,478948396835,483810436699.0,433776007220.0,407257686976,322613422517.0,778376703324,-1935303181629,1511173192152,,,,2019,0.0
3464679677184,2922368562593,1325366463435,1097308869763,1173348286705,630398362957,2223575223255,2130362430371,7807411034423,2718385976786,2091463307171,289803838833,5567975657008,2257301281480,2239435377415,6872832576671,7154152588581,6008400128270,6119860294890,864432448401,1034292293691,548632180884,550481856992,,,139805826370,113459524772.0,795571245781,-594485056933,976371757134,,,,2020,0.0
3551728480357,3464679677184,1403762531188,882711800883,1097308869763,810137001950,2336316823475,2223575223255,8233732861760,2813484247466,2718385976786,289935304895,5757074853164,2368351023885,2476658008596,7351423825664,6872832576671,6502431517454,6008400128270,848992308210,864432448401,523221008907,548632180884,,,354649084324,,636307449660,-557279958292,877334631320,,,,2021,
4194764703068,3551728480357,1429141081044,1136052805721,882711800883,971911128558,2371430970668,2336316823475,9098783327544,4021078315367,2813484247466,459661447813,6728917210972,2243490639665,2369866116572,8627727574148,7351423825664,7780649036416,6502431517454,847078537732,848992308210,590488514279,523221008907,,,97168085854,,378310083775,-643322230574,1515069975633,,,,2022,
3696903747606,4194764703068,778560330727,1196003066716,1136052805721,1140379526270,2716453757903,2371430970668,9244404434130,3576141197593,4021078315367,499779347338,9244404434130,2103103495994,2508486580608,9559328248400,8627727574148,8651145839381,7780649036416,908182409019,847078537732,630903807410,590488514279,277278601609.0,256590023453.0,85713465165,58886775463.0,517356071307,-677283077786,1692126301627,,,,2023,
4439022125072,3696903747606,1346499808114,1259011617341,1196003066716,1241230451378,2863718772795,2716453757903,10620252377496,5033806802743,3576141197593,482751291069,10620252377496,1701525876344,2998738468366,9998723268169,9521628335626,9186539604117,8612031209302,812183664052,909597126324,716646310258,626012343463,95537353794.0,283584782861.0,19590748440,-358595798106.0,569253858880,-732734032496,2961522256509,,,,2024,0.0
4412507003269,4439022125072,924789114632,1437035888232,1259011617341,1404688792489,2724355771362,2863718772795,10492248416160,3984822273916,5033806802743,684765033294,10492248416160,1520687875732,3912981016446,10883728406019,9998723268169,9873826069417,9186539604117,1009902336602,812183664052,739530703434,716646310258,270371633168.0,95537353794.0,62416193123,-197268294891.0,112337412418,-546996305010,3562199841075,,,,2025,
