Date,Open,High,Low,Close,Volume
2026-05-06,88500,88500,82900,83600,774569
2026-05-07,82900,83500,80600,80700,818376
2026-05-08,81800,83100,76300,78000,735654
2026-05-11,78100,78800,74500,75300,708345
2026-05-12,75300,75300,75300,75300,0
