current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,depreciation,roe,debt_ratio,opm,year,long_term_debt,short_term_debt
169815139299,0,45862316339,46693868186.0,0.0,43280673148,28410466852,0,223929931623,33852517913,0,36679088877,15363188902,187250842746,154611976517,0,85388684997,0,69223291520,0,52323338046,0,16899953474,0,19228298120,14971556321,17676486902,2358748564,4000000000,,,,2019,,
209516676715,169815139299,37087050196,,,67857407273,34579654441,28410466852,268588806862,46759463840,33852517913,51209903017,32572250613,217378903845,265729684455,154611976517,147252859366,85388684997,118476825089,69223291520,86924025535,52323338046,31552799554,16899953474,31305179855,22259442939,22381744331,-38355285920,44939380826,,,,2020,1158272673.0,
321166418090,209516676715,66073865022,56070474157.0,39882004632.0,78530771371,43573676224,39045723236,413262217895,111131066850,46759463840,124191260092,104197668466,289070957803,445803726054,265729684455,244890416739,147252859366,200913309315,118476825089,106828368712,86924025535,94084940603,31552799554,100447723543,76728411521,114603470770,-91865718494,100917653424,,,,2021,10150000000.0,3293484970.0
383950967173,321166418090,55965973907,54732142447.0,56070474157.0,117092467913,47536928356,39677166014,472649339864,100917650989,111131066850,119341821898,164862991285,353307517966,460909201007,445803726054,247558039884,244890416739,213351161123,200913309315,121508162394,106828368712,91842998729,94084940603,100020927443,77443254531,46284494056,-36165066547,111997057538,,,,2022,12000000000.0,0.0
353608678775,383950967173,64918554700,,,116713437321,71590181740,47536928356,494393356491,86122493918,100917650989,494393356491,204529192284,392569607133,351863805650,460909201007,187262999789,247558039884,164600805861,213351161123,110482214439,121508162394,54118591422,91842998729,13389056949,52520188202,50281470015,-36436599654,125000000000,,,,2023,0.0,
398573268975,353608678775,94775120383,,,108346942948,92635598884,71590181740,569356264734,81154312944,86122493918,569356264734,276233666181,471716805682,398050977575,351863805650,188456987944,187262999789,209593989631,164600805861,125669566368,110482214439,83924423263,54118591422,18280044546,79128216285,67241427193,-34424696928,192594100000,,,,2024,,
442780964186,398573268975,119421667338,96807704922.0,56691466116.0,104213583798,102298682061,92635598884,645998217783,89382450594,81154312944,106961955599,342754047657,539036262184,457213151918,398050977575,233984668943,188456987944,223228482975,209593989631,134734425900,125669566368,88494057075,83924423263,13960877117,78545663379,61731136881,-17161223038,222000000000,,,,2025,,
