total_assets,current_assets,prev_current_assets,cash,inventory,short_term_investments,ppe_net,prev_ppe_net,total_equity,retained_earnings,total_liabilities,current_liabilities,prev_current_liabilities,long_term_debt,short_term_debt,operating_income,prev_operating_income,revenue,prev_revenue,sga_expense,prev_sga,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,income_tax,net_income,capex,cash_from_operations,accounts_receivable,prev_accounts_receivable,depreciation,interest_expense,roe,debt_ratio,opm,year
8478267740,6357798277,10630365725,965285475,1316364592,1321818916,855721763,1832054772,-78458254859,-99236719214.0,8478267740,84374034633,109508391900,6123022098,4903488831,-7377752929.0,-13878248399.0,215004710,273830718,11425113424,16981841506,8370205255,6047288406,4047360495,3103593107,204018586,16626871873,-207612364,-3916136804,-627567224.0,-10880503.0,278616915,6208939049,,,,2023
11328804685,9794945774,6357798277,3009292853,1619111724,1323203051,472685757,855721763,-77118754123,,11328804685,85937331894,84374034633,7570104742,6653505241,,,525409967,215004710,11554693800,11425113424,7128565105,8370205255,5982672615,4047360495,352738390,-7689957765,-172270831,-5002222891,,,1023715641,6845441228,,,,2024
55028692350,52486191869,9794945774,31054504702,2172272745,1024450148,576569441,472685757,11554105326,,55028692350,40606230263,85937331894,21822338991,3983879200,452884781.0,-5572021185.0,433061933,525409967,15235221996,11554693800,10558904914,7128565105,15688106777,5982672615,885207932,-2804744123,-950033656,-17229700776,,,524218080,4570080849,,,,2025
