current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,interest_expense,capex,short_term_investments,roe,debt_ratio,opm,year
147804000000,197533000000,26526000000,55645000000.0,77112000000.0,51502000000,176234000000,178718000000,390767000000,68620000000,165851000000,10310000000,2395000000,96066000000,55787000000,294701000000,398957000000,393395000000,342783000000,354055000000,56174000000,39340000000,27153000000,24914000000,29021000000.0,14426000000.0,20329000000,19457000000,72915000000,-256000000.0,-50308000000,2111000000,,,,2016
394515000000,147804000000,46201000000,59109000000.0,55645000000.0,58532000000,175752000000,176234000000,650284000000,89045000000,68620000000,7543000000,3805000000,119854000000,95867000000,530430000000,454035000000,398957000000,373071000000,342783000000,80964000000,56174000000,31442000000,27153000000,49522000000.0,29021000000.0,41578000000,42231000000,61179000000,,-219541000000,453000000,,,,2017
357483000000,394515000000,53097000000,69267000000.0,59109000000.0,51158000000,271469000000,175752000000,692206000000,109017000000,89045000000,13350000000,5290000000,163793000000,109756000000,528413000000,502008000000,454035000000,422495000000,373071000000,79513000000,80964000000,30792000000,31442000000,48721000000.0,49522000000.0,53703000000,41329000000,86016000000,,-61902000000,154360000000,,,,2018
592714000000,357481000000,332997000000,74162000000.0,69267000000.0,83941000000,374564000000,271469000000,1036929000000,100985000000,109017000000,666000000,3776000000,221477000000,163843000000,815451000000,550214000000,502008000000,472815000000,422495000000,77399000000,79513000000,30549000000,30792000000,46850000000.0,48721000000.0,55079000000,44340000000,48242000000,,-46889000000,27000000000,,,,2019
518895000000,592714000000,136680000000,101650000000.0,74162000000.0,101794000000,453674000000,374564000000,1081009000000,108571000000,100985000000,0,1012000000,227383000000,203027000000,853626000000,536917000000,550214000000,450521000000,472815000000,86396000000,77399000000,35526000000,30549000000,50870000000.0,46850000000.0,45236000000,42734000000,49479000000,,-213956000000,130000000000,,,,2020
959410929424,518895364769,234580121275,157221343324.0,101650144312.0,134866035798,673797394766,453674752914,1753565091431,148562451793,108570612943,175685386,747470000,404284924962,256976116244,1349280166469,688892613518,536916980684,576234643856,450520986414,112657969662,86395994270,42732411918,35526395915,69925557744.0,50869598355.0,78238379493,63175873096,29896398554,,-457455294709,29877922913,,,,2021
1436348000822,959410929424,200611632210,170393834303.0,157221343324.0,305072795994,873976217105,673797394766,2430279801877,176543818151,148562451793,30607710969,483190000,440193361462,293741117183,1990086440415,729362921828,688892613518,599779830484,576234643856,129583091344,112657969662,44810191189,42732411918,84772900155.0,69925557744.0,60525430586,48987139840,28859414346,,-685185399954,46888665436,,,,2022
1261999605054,1436348000822,551987465038,,,345033338241,1000400973373,873976217105,2392246607934,332800203153,176543818151,145832931652,50233556600,2392246607934,243418887392,1965832679844,809006057001,729362921828,739598235345,599779830484,69407821656,129583091344,57602439390,44810191189,11805382266.0,84772900155.0,7742200172,-45120189148,-89764835787,,472159638192,20034238160,,,,2023
1031452427826,1261999605054,418622510032,,,333180424693,1127893848778,1000400973373,2282023058453,117640878983,332800203153,17998593099,0,2282023058453,237455568167,1901956206905,902252020191,809006057001,890792920064,739598235345,11459100127,69407821656,75903749968,57602439390,-64444649841.0,11805382266.0,-44941089359,28798407933,87004015917,,96656939149,76436500000,,,,2024
958897586984,1031452427826,105057534562,,,298816808098,1080997663145,1127893848778,2208680587320,202276053409,117640878983,18502707855,0,2208680587320,83680661849,1793464927050,677530806593,902252020191,744320865459,890792920064,-66790058866,11459100127,78436307276,75903749968,,,-195149029701,-167150052089,-11053371492,,-374359411116,343988240000,,,,2025
