total_assets,current_assets,prev_current_assets,cash,inventory,short_term_investments,accounts_receivable,prev_accounts_receivable,ppe_net,prev_ppe_net,total_equity,retained_earnings,total_liabilities,current_liabilities,prev_current_liabilities,long_term_debt,short_term_debt,operating_income,prev_operating_income,sga_expense,prev_sga,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,income_tax,net_income,revenue,prev_revenue,capex,cash_from_operations,roe,debt_ratio,opm,year
69510934821,65669617251,29922273278,9342032435,3631421430,43000000000,7480131298,5264982571,829400255,587645536,59967623220,-46829057436,69510934821,8026984472,6984749426,0,0,-7490868842,-5764984704,13360916295,9283578124,27525031602,20685466199,5870047453,3518593420,0,-6729151697,33395079055,24204059619,-28991497626,-7518329810,,,,2024
73041596641,69565938158,65669617251,13177362003,9344694179,36035759658,6924198277,7480131298,1316678872,829400255,60444194628,-48979303522,73041596641,11133107713,8026984472,0,0,-3180595266,-7490868842,13543970709,13360916295,31042705985,27525031602,10363375443,5870047453,25043861,0,41406081428,33395079055,6266246527,-2901172959,,,,2025
