current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,interest_expense,capex,roe,debt_ratio,opm,year,depreciation
5255222000000,5329537000000,653497000000,2202182000000,2199537000000,1494685000000,2486954000000,2583443000000,9713037000000,4190972000000,4026772000000,1074326000000,1036271000000,6457803000000,2123585000000,3255234000000,9621313000000,9999749000000,8321291000000,8651928000000,1300022000000,1347821000000,-940036000000,-1033512000000,459214000000,271955000000,272520000000,215138000000,807927000000,124685000000,-235884000000,,,,2016,
6104907000000,5255222000000,628697000000,2165550000000,2202182000000,1418465000000,1957684000000,2486954000000,9978904000000,4120016000000,4190972000000,1232879000000,571727000000,6346794000000,2391787000000,3632110000000,9515114000000,8507515000000,8250825000000,7369628000000,1264289000000,1137887000000,857081000000,858568000000,532167000000,378658000000,377766000000,364831000000,237436000000,125951000000,-403011000000,,,,2017,
5977496000000,6104907000000,826539000000,2454295000000,2165550000000,1539923000000,2247103000000,1957684000000,10490289000000,3956639000000,4120016000000,1189327000000,775093000000,6130728000000,2831779000000,4359561000000,44110000000,50043000000,8855027000000,8163299000000,1255132000000,1255031000000,900831000000,852550000000,509088000000,527440000000,275082000000,487659000000,49863000000,123257000000,366736000000,,,,2018,29286000000.0
6016433000000,5977496000000,1017373000000,2425503000000,2454295000000,1512174000000,2283401000000,2247103000000,10763512000000,3973388000000,3956639000000,1086392000000,854426000000,6492184000000,2808558000000,4271328000000,66053000000,44110000000,8926277000000,8832418000000,1249966000000,1260308000000,977535000000,899980000000,351981000000,515115000000,160438000000,92824000000,303727000000,129091000000,-166311000000,,,,2019,0.0
6692220000000,6016433000000,1564305000000,2346605000000,2425503000000,1655435000000,2386919000000,2283401000000,11660540000000,4340518000000,3973388000000,1244974000000,639946000000,7212043000000,2900254000000,4448497000000,54128000000,66053000000,9152917000000,8906143000000,1291399000000,1245617000000,954838000000,975771000000,419168000000,349396000000,303071000000,194725000000,701304000000,104140000000,-276639000000,,,,2020,0.0
7485506000000,6692220000000,1272554000000,2839896000000,2346605000000,2223241000000,2470922000000,2386919000000,12625931000000,5173933000000,4340518000000,1537208000000,982963000000,7915665000000,3157548000000,4710266000000,60452000000,54128000000,11463723000000,9152917000000,1625379000000,1291399000000,1146902000000,954838000000,583656000000,419168000000,400262000000,352129000000,-133177000000,102692000000,-444232000000,,,,2021,10000000000.0
11461292000000,7485506000000,1671312000000,3355933000000,2839896000000,4661997000000,3488255000000,2470922000000,16813978000000,8504993000000,5173933000000,3597977000000,1262063000000,11259315000000,3598154000000,5554663000000,70372000000,60452000000,15609624000000,11216879000000,1881714000000,1612395000000,1320153000000,1142259000000,670941000000,575315000000,657920000000,505486000000,467114000000,182899000000,-1039601000000,,,,2022,5000000000.0
11617591000000,11461292000000,1701163000000,3292227000000,3355933000000,4828161000000,4362411000000,3938770000000,18245954000000,8631564000000,8504994000000,4004057000000,1250563000000,18245954000000,4320823000000,6750601000000,849000000,70372000000,22113378000000,15611056000000,2367365000000,1880282000000,1465663000000,1320153000000,899674000000,669509000000,63646000000,570596000000,361391000000,391547000000,-714354000000,,,,2023,3950000000.0
12938266000000,11617591000000,1591627000000,3986080000000,3292227000000,5047230000000,5179217000000,4362411000000,20527939000000,10546216000000,8631564000000,4676313000000,1172151000000,20527939000000,4477330000000,6881153000000,1273164000000,1036988000000,24883462000000,22113378000000,2661201000000,2367365000000,1573465000000,1465663000000,1072943000000,899674000000,169434000000,391515000000,858072000000,448141000000,-890932000000,,,,2024,0.0
16414864000000,12938266000000,2086611000000,4060958000000,3986080000000,6679277000000,5901837000000,5179217000000,24994792000000,13775531000000,10546216000000,5804770000000,1390707000000,17315204000000,5024553000000,7679588000000,31870031000000,27544663000000,29036584000000,24883462000000,2833447000000,2661201000000,1763616000000,1573465000000,1052554000000,1072943000000,194459000000,485145000000,206330000000,404681000000,-1690382000000,,,,2025,5000000000.0
