current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,interest_expense,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
,,1190227458620,1265550667695,,,,,,6842003858379,,,,,1550879763798,3874712651378,5291124094581,8180186860839,7853458731256,,,,,,,627092295270,588251362574,,,514327713066,622817968933,-253945699644,,,,2016
,,931461393278,1993797925148,,,,,,7277760879807,,,,,1558331443164,4347047622867,5719429436643,9299206129920,8180186860839,,,,,,,731559148609,627092295270,,,541772277273,834847191286,-970422623297,,,,2017
,,1161683996643,2510284469888,,,,,,8013849390714,,,,,1865297206344,4821746821634,6148552184370,10034218901478,9299206129920,,,,,,,877355813196,731559148609,,,638792258413,1196531554170,-818556277028,,,,2018
,,1148183598879,2682693917252,,,,,,9021235882454,,,,,2296078793954,5403504408350,6725157088500,10719631804166,10034218901478,,,,,,,990089397088,877355813196,,,750448957378,893786644757,-606218259228,,,,2019
,,1199285828821,2995006424561,,,,,,9154919055538,,,,,2295810891305,5661318543041,6859108164233,11017431525517,10719631804166,,,,,,,871618076210,990089397088,,,452908951325,979402851889,-545187284297,,,,2020
,,1080888303254,3510296210127,,,,,,10517432175247,,,,,3073731543176,6086848943364,7443700632071,13630002438924,11017431525517,,,,,,,808097771607,871618076210,,,633381433112,980238874630,-826635058125,,,,2021
,,1392134431709,3637376221724,,,,,,11952424889489,,,,,3485454954575,7000953240103,8466969934914,17234749537662,13630002438924,,,,,,,916074023314,808097771607,,,1130012585621,1289793206812,-645431185172,,,,2022
,,1787694554183,3703537442174,,,,,,12321024561023,,,,,3345453419084,7446854656437,8975571141939,13276844204872,17234749537662,,,,,,,808230946594,916074023314,,,701325761022,1460826705639,-622134371779,,,,2023
,,1668766407204,4355281662519,,,,,,13238330251696,,,,,3532880772221,7995006036046,9705449479475,13828232033800,13276844204872,,,,,,,911096907001,808230946594,,,789501325293,1238044504932,-1068791775370,,,,2024
,,1558981444019,4821250715228,,,,,,13453704199195,,,,,3190804215776,8530229302596,10262899983419,13929868497711,13828232033800,,,,,,,957102744609,911096907001,,,782669219514,1203327812666,-824218471213,,,,2025
