current_assets,prev_current_assets,cash,short_term_investments,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,depreciation
,,2049303000000,2716997000000.0,,,,41711608000000,,,,,13153619000000,27520860000000,28557989000000,38261745000000,36019749000000,,,,,,,2904692000000.0,2934571000000.0,,3047282000000,2017786000000,-2124488000000,,,,2016,
,,2407890000000,2945283000000.0,,,,41736819000000,,,,,12377861000000,28780083000000,29358958000000,35144580000000,38261745000000,,,,,,,2024929000000.0,2904692000000.0,,1557723000000,1948742000000,-1065543000000,,,,2017,
,,2335060000000,0.0,,,,43071132000000,,,,,12367704000000,30095474000000,30703428000000,35149219000000,35144580000000,,,,,,,2024957000000.0,2024929000000.0,,1888206000000,1610128000000,-943963000000,,,,2018,383024000000.0
,,3341977000000,0.0,,,,46606064000000,,,,,14196442000000,31656804000000,32409622000000,38048768000000,35149219000000,,,,,,,2359257000000.0,2024957000000.0,,2294311000000,2644058000000,-720168000000,,,,2019,139476000000.0
,,4202436000000,,,,,48497676000000,,,,,15169553000000,32851281000000,33328123000000,36626504000000,38048768000000,,,,,,,1830292000000.0,2359257000000.0,,1526850000000,2476737000000,-1256765000000,,,,2020,375406000000.0
,,4155989000000,,,,,51482537000000,,,,,16125063000000,34679467000000,35357474000000,41702184000000,36626504000000,,,,,,,2040112000000.0,1830292000000.0,,2362474000000,2608809000000,-1953379000000,,,,2021,427791000000.0
,,4088248000000,,,,,55406698000000,,,,,17599066000000,36979291000000,37807632000000,51906293000000,41702184000000,,,,,,,2026531000000.0,2040112000000.0,,2487244000000,2154062000000,-1603980000000,,,,2022,33769000000.0
,,5079414000000,,,,,58585845000000,,,,,58585845000000,39639529000000,40655299000000,59254361000000,51906293000000,,,,,,,2295284000000.0,2026531000000.0,,3423309000000,5342631000000,-2541385000000,,,,2023,188169000000.0
,,4788492000000,,,,,66596905000000,,,,,66596905000000,42911192000000,46118232000000,57236995000000,59254361000000,,,,,,,3073456000000.0,2295284000000.0,,4060161000000,4252694000000,-4589092000000,,,,2024,1882465000000.0
,,4922378000000,,,,,70400532000000,,,,,70400532000000,45224557000000,49212795000000,61118127000000,57236995000000,,,,,,,,,,3664736000000,4472515000000,-3233689000000,,,,2025,4833093000000.0
