current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,depreciation
144145212524,112677259986,19425188889,43569131120,26159123805,958886163,24093955204,22872242400,211182241048,62665096600,56691627585,0,84467191584,69423881479,126715049464,240087700147,197467917917,201484567267,161327569970,38603132880,36140347947,23195875520,19586408336,15407257360,16553939611,11708747755,8130733610,6725303868,2551495133,,,,2021,
136785072621,144145212524,28294456940,45365623978,43569131120,994381000,24218963011,24093955204,219449376793,48651535920,62665096600,4486145735,64868050893,75516304423,154581325900,210456108794,240087700147,171109715178,201484567267,39346393616,38603132880,27191371890,23195875520,12155021726,15407257360,12485209347,9245492544,-25991963166,36097145827,,,,2022,11561145.0
162868633010,136785072621,19286084517,55483790307,45365623978,1941734594,23981985408,24218963011,248932796618,77216693442,48651535920,0,248932796618,76273886230,160732665935,267838061818,210456108794,234218054891,171109715178,33620006927,39346393616,29476672233,27191371890,4143334694,12155021726,344870296,4207016427,-9935983695,-5437614648,,,,2023,0.0
219728807130,162868633010,58552819282,65513306713,55483790307,3464457324,27725955545,23981985408,298865266015,110172629648,77216693442,0,126722489340,99664844179,172142776675,341383043004,267838061818,277899309277,234218054891,63483733727,33620006927,38912654077,29476672233,24571079650,4143334694,7250720379,26917423749,55105691502,8928380555,,,,2024,0.0
191903715384,219728807130,36118711493,60747055851,65513306713,3427420433,27560965515,27725955545,283436434561,107779443173,110172629648,0,283436434561,80259187947,160303427587,393940640251,341383043004,322926309291,277899309277,71014330960,63483733727,52801787651,38912654077,18212543309,24571079650,649396563,11293835158,-1431766908,-13849627013,,,,2025,
