current_assets,prev_current_assets,cash,short_term_investments,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,long_term_debt
,,21039331086,0,,,,333897234560,,,88942324810,202390174772,244954909750,213326726381,139516395746,,,,,,,,,,15452272592,-40064824091,4716325645,,,,2019,
,,67800801700,6963818,,,,335351656753,,,99578946528,203723528065,235772710225,237399736036,213326726381,,,,,,,,,,9787540652,70341150830,-924969457,,,,2020,
,,88663371439,0,,,,332143487939,,,87294231899,211096598201,244849256040,171088093279,237399736036,,,,,,,,,,12503180650,29859821491,-1437272743,,,,2021,
,,97715163814,3129717020,,,,429772701838,,,174341588445,221383806707,255431113393,202878635272,171088093279,,,,,,,,,,15099401751,28910380084,-76750270214,,,,2022,
,,70430089123,0,,,,423163460482,,,423163460482,242010859678,276014273067,321955650203,202878635272,,,,,,,,,,22727501737,3280031940,6813137956,,,,2023,
,,52824998857,0,,,,516608191578,,,516608191578,270534591600,306281786285,294264258276,321955650203,,,,,,,,,,34636527846,11405846779,-4313086041,,,,2024,
,,89771225887,25783900000,,,,589839322838,,,225095289535,330663099829,364744033303,606119987434,294264258276,,,,,,,111313927765.0,22239479490.0,,84373067879,102991073815,-38061079347,,,,2025,
