current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,short_term_investments,interest_expense,capex,short_term_debt,long_term_debt,roe,debt_ratio,opm,year
,,33452616690,,,,,,670707618768,,,324059918545,85816213818,346647700223,266924996312,199869310099,,,,,,,20158172747,11259339361,,24498004576,12759533882,9519504823.0,0.0,,-65582561698,,,,,,2016
,,21744676017,,,,,,740812968996,,,397135169628,94186125463,343677799368,298287327227,266924996312,,,,,,,10135190610,20158172747,,5849103746,10890467694,12482242222.0,0.0,,-81396580024,,,,,,2017
,,23886634430,,,,,,879814436602,,,519966073861,101738322871,359848362741,438275251189,298287327227,,,,,,,24136794528,10135190610,,12559396609,-1358392338,18447302655.0,0.0,,-73012039915,,,,,,2018
,,59966257980,,,,,,892716238226,,,536726136520,99443601051,355990101706,468352868367,438275251189,,,,,,,-7332326290,24136794528,,-13904654336,-5674823562,23022689418.0,0.0,,10909147147,,,,,,2019
,,100254871449,,,,,,881564731266,,,549329617862,89120022989,332235113404,525904306471,468352868367,,,,,,,1205936971,-7332326290,,-17174579607,41467271482,,,,-18629884707,,,,,,2020
,,87779204724,,,,,,954664614459,,,612768102873,101017122597,341896511586,575998201641,525904306471,,,,,,,11921606212,1205936971,,4343190417,-22348147,,,,-46743181503,,,,,,2021
,,95464538642,,,,,,936136657462,,,610374632435,94474981432,325762025027,617403775029,575998201641,,,,,,,3400294229,11921606212,,-20235925074,29958706175,,,,544384949,,,,,,2022
,,78705027856,,,,,,878273229175,,,625876969916,97984371168,252396259259,628597019226,617403775029,,,,,,,20249350496,3400294229,,2487403702,29784900243,,,,-39013624575,,,,,,2023
,,78251455283,,,,,,953903205812,,,672673012576,106985146197,281230193236,597630263412,628597019226,,,,,,,16794453838,20249350496,,8046999846,23836079689,,,,-32092043137,,,,,,2024
,,99431280134,,,,,,1006338658068,,,710651361629,133546197752,295687296439,645205591735,597630263412,,,,,,,26984473709,16794453838,,18669946513,35173851069,247938748.0,,,-12678147081,,,,,,2025
