year,quarter,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum
2020,Q4,1437671297,-8397519580,761061302,42663507857,1437671297,761061302,-0.9822,1.1712,0.0,0.7008,1.0
2021,Q4,-3628359407,1437671297,279695191,761061302,-3628359407,279695191,-0.6325,-3.5238,0.0,-0.8757,-1.0
2022,Q4,-3945420701,-3628359407,207754563,279695191,-3945420701,207754563,-0.2572,-0.0874,0.0,-0.1488,-1.0
2023,Q4,-7868210684,-3945420701,136656090,207754563,-7868210684,136656090,-0.3422,-0.9943,0.0,-0.6654,-1.0
2024,Q1,-18194510717.0,0,14731105811.0,0.0,-18194510717.0,14731105811.0,0,-18194510717.0,0.0,0.0,0.0
2024,Q2,-3115822457.0,0,16951981600.0,0.0,-3115822457.0,16951981600.0,0,-3115822457.0,0.0,0.0,0.0
2024,Q3,-8865624469.0,0,12735420762.0,0.0,-8865624469.0,12735420762.0,0,-8865624469.0,0.0,0.0,0.0
2024,Q4,-38336839563,-7868210684,1712865075,136656090,-38336839563,1712865075,11.5341,-3.8724,0.0,-0.8856,-1.0
2025,Q1,-2956098605.0,0,12372752081.0,0.0,-2956098605.0,12372752081.0,0,-2956098605.0,0.0,0.0,0.0
2025,Q2,-1502761438.0,0,25016538373.0,0.0,-1502761438.0,25016538373.0,0,-1502761438.0,0.0,0.0,0.0
2025,Q3,722784785.0,0,17977932809.0,0.0,722784785.0,17977932809.0,0,722784785.0,0.0,0.0,0.0
2025,Q4,3792531724,-38336839563,697094565,1712865075,3792531724,697094565,-0.593,1.0989,0.0,0.6873,1.0
