current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_investments,roe,debt_ratio,opm,year,equity_corrected
54892607662,51133233940,6701514005,11094573986,10573851665,13856970045,26590967363,23908728351,189682338469,83047074425,70289744161,21584451659,40435876070,89292800486,-93315560806,100389537983.0,109127634139,75073727405,92936634220,56878923188,16190999919,18194804217,33807738700,20955507167,-17616738781,-2760702950,-37970685174,-40854352668,-12681109434,-64308041873,726783661,,,,2016,
75217233311,54892607662,9371358455,5577665097,11094573986,4399025920,13475345315,26590967363,159825712847,92611846590,83047074425,5301000000,48779819351,93711989604,-104406932278,66113723243.0,47875295766,28402781252,31627402265,19147402715,16247893501,9255378537,17662538997,15484701439,-1414645496,-6229322902,-30492993867,-12481070370,-62617383,-56620075941,960438357,,,,2017,
107172637404,75217233311,35463669345,6905222965,5577665097,5347024068,13521965783,13475345315,172592061422,58084064722,92611846590,1000000,31915532889,58781846390,-118753305403,113810215032.0,47239502797,47875295766,29807121588,31627402265,17432381209,16247893501,18094989805,17662538997,-662608596,-1414645496,-13564547541,-13704578761,-255804498,-2709894334,1490076714,,,,2018,
110816123175,107172637404,55352353908,7059266773,6905222965,4852253545,10466317016,13521965783,163178085209,63887156060,58084064722,0,12691963778,68226154116,-209099746624,94951931093.0,42663507857,47239502797,28015167048,29807121588,14648340809,17432381209,23045860389,18094989805,-8397519580,-662608596,-92102863539,-92102863539,-712105077,20280778550,2415008719,,,,2019,
68492265344,110816123175,50771930474,4517840995,7059266773,5430976976,19457679220,10466317016,158799566102,20664605067,63887156060,3501000000,3913062721,23593799352,-59335515570,,761061302,1981919504,40115305842,28015167048,25547909203,14648340809,24110237906,23045860389,1437671297,-8397519580,1635005456,1635005456,13954705042,-21322053694,3700000000,,,,2020,
52612382952,68492265344,18717612816,6822329142,4517840995,7501998921,24884773835,19457679220,172338330059,16139965989,20664605067,3500000000,1801459791,18351938260,-46653289467,,279695191,280372991,41489783376,40115305842,18880824444,25547909203,22509183851,24110237906,-3628359407,1437671297,12057889957,12057889957,-3466823112,-28069058104,3700000000,,,,2021,
60136300936,52612382952,15798355630,3842836692,6822329142,10837580262,31358859440,24884773835,151142710555,15824358744,16139965989,4501000000,1605198434,16791610787,-65849280478,,207754563,279695191,53942891972,41489783376,21861223642,18880824444,25806644343,22509183851,-3945420701,-3628359407,-19603750133,-19603750133,-2955150752,6491740188,3700000000,,,,2022,
33730789998,60136300936,16518371412,4823045802,3842836692,6782371706,36407548041,31358859440,135153431377,25989082637,15824358744,13520000000,0,27134775003,-94082701638,108018656374.0,136656090,207754563,46160224865,53942891972,26048348420,21861223642,33916559104,25806644343,-7868210684,-3945420701,170867374,-27176637525,3565590648,-10514247773,3700000000,,,,2023,
25166181267,33730789998,3574561823,8180530085,4823045802,5685131156,36104771413,36407548041,150746205875,70270367265,25989082637,20800000000,0,121740371913,-183416572098,29005833962.0,1712865075,136656090,42976563147,46160224865,19715148883,26048348420,58051988446,33916559104,-38336839563,-7868210684,-583845794,-87218733402,-28368990178,-50044330778,3700000000,,,,2024,
42914816046,25166181267,17577870390,4760183684,8180530085,8674694441,32420642069,36104771413,158874710036,65436891054,70270367265,0,19181732426,101645843703,-78423241818,57228866333.0,697094565,1712865075,46605066733,42976563147,34925753561,19715148883,31133221837,58051988446,3792531724,-38336839563,-90481238,-11336638395,1108486901,-2848090766,5200000000,,,,2025,
