current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_investments,roe,debt_ratio,opm,year,short_term_debt,long_term_debt
29596294577,23378685475,4961478685,13794608538,6063067320,5202226031,1444163867,545332830,32227696376,5529104952,2849093913,5801624398,9092939432,26426071978,24452139881,19991699032,8808021238,7940178013,15644118643,12051521019,12181024303,9686769587,3463094340,2364751432,3924648820,3727283567,237012878,-381149563,16807070196,,,,2016,,
34403287015,29596294577,10763452557,13093930117,13874519387,9387104569,1773709422,1444163867,37075182402,6478998101,5529104952,6515728316,13311212322,30559454086,32882239966,24452139881,10547826660,8808021238,22334413306,15644118643,16303086533,12181024303,6031326773,3463094340,4973382294,4544615640,2659471215,3349148463,536491167,,,,2017,,
40050462229,34403287015,11106624115,12743834121,13093930117,12858911473,2098616150,1773709422,43226861161,7075519998,6478998101,7112486481,18379264430,36114374680,41810163936,32882239966,15442755470,10547826660,26367408466,22334413306,20682296884,16303086533,5685111582,6031326773,6193648642,5595336108,3935485595,-3200640603,2783629049,,,,2018,,
54237478304,40050462229,11581122379,21377365324,12743834121,16781737369,4656899974,2098616150,60509518253,15031247726,7075519998,16146222414,26220967964,44363295839,51973741930,41810163936,17774532423,15442755470,34199209507,26367408466,26163497097,20682296884,8035712410,5685111582,8408275365,8506309034,1555723889,905645922,646527858,,,,2019,1130200000.0,
80726794598,54237478304,35257884832,22286230135,21377365324,20341161783,20841481264,4656899974,104415329013,27264671687,15031247726,51333369404,35377128293,53081959609,71223135801,51973741930,25049493485,17774532423,46173642316,34199209507,31192793821,26163497097,14980848495,8035712410,10716355921,9955966928,12474649605,-14914204105,27200000,,,,2020,7165100000.0,10000000000.0
106680855452,80726794598,39969247172,31891439351,22286230135,24397577146,22878920881,20841481264,133915014264,26669689068,27264671687,43772547088,43267349279,90142467176,85250257554,71223135801,30063475437,25049493485,55186782117,46173642316,37605906001,31192793821,17580876116,14980848495,8754708230,9085205707,10790189960,-3838826875,8094837500,,,,2021,0.0,10000000000.0
126306643129,106680855452,45148748621,37465990709,31282851123,38291593632,26010131388,22878920881,167049138773,39687594282,26669689068,47586061071,69534652093,119463077702,124522011401,85250257554,43052664257,30063475437,81469347144,55186782117,48821066704,37605906001,32648280440,17580876116,31881837588,27984365814,27577839233,-14247443198,602324267,,,,2022,10237623032.0,662088000.0
148106824176,126306643129,70946860854,35791395726,38579186620,37987405148,37192549627,26010131388,201672528008,49664629592,39687594282,201672528008,91336217406,143484613955,144806376321,124522011401,52400937669,43052664257,92405438652,81469347144,64845201557,48821066704,27560237095,32648280440,2580617854,24562474113,31304063628,-12803644035,750676022,,,,2023,20582102818.0,0.0
191151103812,148106824176,93438772816,47499332395,35791395726,45318948272,63519448683,37192549627,274315476326,62937674219,49664629592,274315476326,131371730424,187909793142,175059849427,144806376321,60842343228,52400937669,114217506199,92405438652,75687634808,64845201557,38529871391,27560237095,4426770862,42803661818,34715731945,-28723684800,600000000,,,,2024,0.0,0.0
196653390748,191151103812,75059752464,57109864972,45430573060,54835483801,116036008135,63519448683,349922446098,73353665640,62937674219,349922446098,162376461274,225119915287,205613479882,175059849427,69121361224,60842343228,136492118658,114217506199,94301092463,75687634808,42191026195,38529871391,6748421106,34475725850,24479318934,-70876020669,600000000,,,,2025,10170523103.0,32966292992.0
