current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,gross_profit,prev_gross_profit,roe,debt_ratio,opm,year,short_term_debt,depreciation
94194166702,97328893426,20594583196,41427620315,1158405610,1087152680,2406404561,203275200,748961034,95899261664,16480745466,13720368168,17136224737,43089943892,9905239019,52809317772,8751241483,14926335581,-3787445168,-5097139872,-12183894670,-12562203357,-7220098355,-2733007648,-12808353205,-12984660752,-6077154976,-36812181961,12538686651.0,20023475453.0,,,,2016,,
70500591368,94194166702,32067979033,18297227875,1687779922,1158405610,2736841273,860758922,203275200,74038036459,20493109744,16480745466,1154202627,20868778059,-5124865914,53169258400,5585879988,8751241483,3975809867,3787445168,17744853294,12183894670,-16846231970,-7220098355,-15629203695,-14881751606,-13213838076,36422046671,1610070121.0,4963796315.0,,,,2017,,
70018629506,70500591368,29551187226,23324925931,1761984715,1687779922,2399856718,1200248800,860758922,75059445207,17740342636,20493109744,0,17740342636,-24113337782,57319102571,19087500191,5585879988,1955147407,3975809867,25163943108,17744853294,-21925916196,-16846231970,-20823695622,-18876287918,-21723893700,1288976241,17132352784.0,1610070121.0,,,,2018,,
51849133435,70018629506,15644307397,20500000000,2866924387,1761984715,6002665969,4902373808,1200248800,58873711912,13509662430,17740342636,0,16043627172,-47351138341,42830084740,18930987559,19087500191,-1156898218,-1955147407,-27754588246,-25163943108,-24658887227,-21925916196,-22220079235,-23251204215,-20880004983,304465677,20087885777.0,21042647598.0,,,,2019,424619943.0,
60668763208,51849133435,35854072222,13250000000,2565260749,2866924387,7010570733,5898904918,4902373808,75625433817,15514220835,13509662430,0,18815705288,-61166477881,56809728529,28634181276,17920423979,440290141,341464337,14901668781,27558618388,-7530525117,-24717034062,-12836486686,-13872839045,-7376695737,3561422305,28193891135.0,17578959642.0,,,,2020,985498556.0,66866574.0
64174204948,60668763208,24209660715,23000000000,2367513981,2565260749,11777139390,4878808389,5898904918,83934573674,18496574941,15514220835,0,21141075417,-74788578927,62793498257,26653873354,28634181276,619586975,440290141,20620310695,14901668781,-16797556309,-7530525117,-13025609762,-13602674400,-15071356686,-16334009662,26034286379.0,28193891135.0,,,,2021,932014087.0,124470924.0
45897006835,64174204948,29399067075,3000000000,2643907389,2367513981,8834839731,4244628905,4878808389,54021841457,26080010640,18496574941,0,27781788650,-111052472621,26240052807,30726176390,26653873354,820000979,619586975,23038766275,20620310695,-23331280109,-16797556309,-35909597525,-36297830143,-12074641587,17409824752,29906175411.0,26034286379.0,,,,2022,1062980117.0,20930700.0
74243516264,45897006835,40246152632,18000000000,2308899089,2643907389,5741769533,2854251188,4244628905,92149353875,29615262759,26080010640,38427000,92149353875,-123723165441,61444362867,31720932232,30726176390,26672619979,30219619945,18285826387,23038766275,-14488566140,-23331280109,248073461,-12728376387,-11023300733,-25555485538,5048312253.0,506556445.0,,,,2023,499577396.0,87179923.0
41925551798,74243516264,13616921000,15000000000,869925249,2308899089,5419595782,2528592558,2854251188,73997678716,26670294572,29615262759,-7327190,73997678716,-143148358267,46062511803,8611620880,31720932232,0,26672619979,16047132053,18285826387,-14299550646,-14488566140,4942970973,-19476774574,-18489351825,-9576381716,,5048312253.0,,,,2024,0.0,162762634.0
45585908235,41925551798,25573850001,0,1077702810,869925249,5302071265,2516485546,2528592558,98024514218,79572430230,26670294572,9909505862,98024514218,-178128780532,17194549713,7909500393,8611620880,0,0,18225759513,16047132053,-16768533041,-14299550646,-3908682694,-34928862370,-16588063312,1886069954,,,,,,2025,0.0,4932460.0
