year,quarter,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum
2020,Q4,239335181312,181292187959,935919766484,807416422918,239335181312,935919766484,0.1592,0.3202,0.0,0.3904,1.0
2021,Q4,399106778303,239335181312,1214682040178,935919766484,399106778303,1214682040178,0.2978,0.6676,0.0,0.5718,1.0
2022,Q4,768746685740,399106778303,1675287533666,1214682040178,768746685740,1675287533666,0.3792,0.9262,0.0,0.6494,1.0
2023,Q4,265437456373,768746685740,1154223638940,1675287533666,265437456373,1154223638940,-0.311,-0.6547,0.0,-0.567,-1.0
2024,Q1,41041920896.0,0,261498168765.0,0.0,41041920896.0,261498168765.0,0,41041920896.0,0.0,0.0,0.0
2024,Q2,67451961546.0,0,298387736089.0,0.0,67451961546.0,298387736089.0,0,67451961546.0,0.0,0.0,0.0
2024,Q3,47051581514.0,0,287793117958.0,0.0,47051581514.0,287793117958.0,0,47051581514.0,0.0,0.0,0.0
2024,Q4,190838683363,265437456373,1131167709804,1154223638940,190838683363,1131167709804,-0.02,-0.281,0.0,-0.3598,-1.0
2025,Q1,52501423092.0,0,297380601926.0,0.0,52501423092.0,297380601926.0,0,52501423092.0,0.0,0.0,0.0
2025,Q2,73842437551.0,0,337406491433.0,0.0,73842437551.0,337406491433.0,0,73842437551.0,0.0,0.0,0.0
2025,Q3,80579586407.0,0,374649575924.0,0.0,80579586407.0,374649575924.0,0,80579586407.0,0.0,0.0,0.0
2025,Q4,277294561174,190838683363,14417560904,1131167709804,277294561174,14417560904,-0.9873,0.453,0.0,0.4754,1.0
