current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,depreciation,operating_income,prev_operating_income,interest_expense,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,short_term_investments
368924210893,337757265953,115579822578,110259609625,92048491883,76344777763,547700934327,533140340401,986788572274,274231114801,244044784854,15253525225,124561869720,644871256989,65708913586,341917315285,773140180180,666594986583,483129939120,436915515281,290010241060,229679471302,117582311375,104710656427,804505071.0,172427929685,124968814875,39114435573.0,85493535543,88344017895,248312191117,-121031883083,,,,2016,
353662840900,368924210893,107494652116,85706099352,110259609625,75018890438,555566834586,547700934327,993950720396,145225195286,274231114801,11286143187,28689828733,538152774709,178280669914,455797945687,679737743507,773140180180,426170592097,483129939120,253567151410,290010241060,110371983659,117582311375,853885369.0,143195167751,172427929685,23681554202.0,104961599236,110175088512,183124083374,-101904144597,,,,2017,27259605734.0
383378936944,353662840900,119106292852,98855165793,85706099352,42891649316,597570490876,555566834586,1066533839753,156796450097,145225195286,15890934276,11717019243,508142308509,286926663501,558391531244,669279136472,679737743507,453942754545,426170592097,215336381927,253567151410,102343239371,110371983659,,112993142556,143195167751,,96113999904,86828767655,180343534220,-117302224953,,,,2018,36300849924.0
426263421167,383378936944,84776806585,102020672410,98855165793,51837841227,616573799640,597570490876,1088889809571,219715556191,156796450097,30550406050,29739094060,444239079806,375643537563,644650729765,807416422918,669279136472,513292636950,453942754545,294123785968,215336381927,112831598009,102343239371,,181292187959,112993142556,,143965439877,104637012339,161078351164,-123954602484,,,,2019,37609951042.0
459208127449,426263421167,48293560140,102419518776,102020672410,51848769524,674684075483,616573799640,1178581197181,261704001422,219715556191,15209836486,56876690388,383996684604,525382012788,794584512577,935919766484,807416422918,577034943664,513292636950,358884822820,294123785968,119549641508,112831598009,,239335181312,181292187959,,209655252129,166025591077,309982629774,-265310217823,,,,2020,38377835778.0
815161899425,459208127449,183017846365,134935586470,102419518776,66017137668,657794904547,674684075483,1549937895854,335336853432,261704001422,33620487958,36462710177,443888189808,831968968093,1106049706046,1214682040178,935919766484,679485436680,577034943664,535196603498,358884822820,136089825195,119549641508,,399106778303,239335181312,,420439748913,316891852008,393129114790,-252766500051,,,,2021,184964046993.0
1327724119744,815161899425,151311289546,122007611173,134935586470,73768604576,737891093716,657794904547,2122700474808,404353962296,335336853432,26652891819,27999960000,484416396415,1365860516069,1638284078393,1675287533666,1214682040178,742069764946,679485436680,933217768720,535196603498,164471082980,136089825195,,768746685740,399106778303,,747138338305,558836662217,730063433619,-710089080981,,,,2022,603957314881.0
1027982955095,1327330066477,253329763803,109613109613,122007611173,81645551677,950915129838,752946807244,2043378694132,220150412233,416099502332,13123799237,21666640000,2043378694132,1563260865279,1740082437747,1154223638940,1669476722276,712204456498,741652222649,442019182442,927824499627,176581726069,165939692250,,265437456373,761884807377,,41751008397,264149250979,224258155766,27488934945,,,,2023,339945875817.0
1194370198832,1027982955095,297054100758,100427284862,109613109613,70392571642,1135410155987,950915129838,2396851168578,316866668877,220150412233,90486731143,19833320000,2396851168578,1763434867503,2000688804317,1131167709804,1154223638940,744330982971,712204456498,386836726833,442019182442,195998043470,176581726069,,190838683363,265437456373,,46456898672,229385888355,382634373825,-330981683566,,,,2024,138106738233.0
1435680643640,1194370198832,323054472680,135007514954,100427284862,97482503602,1228597449804,1135410155987,2992581747645,579178189189,316866668877,231678525383,21636275167,2992581747645,1926419642845,2243995457046,14417560904,0,896861212540,744330982971,500372094499,386836726833,223077533325,195998043470,,277294561174,190838683363,,65334541984,252582440798,356967025481,-393629106750,,,,2025,132808839381.0
