current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,roe,debt_ratio,opm,year
68242497770,28274550244,25905721624,3000000000,20635194101,12861687176,17357149143,14541270973,14850976249,98174987749.0,19528678192,10224790671,6510941481,0,34830060081.0,25438328467,63344927668.0,77790620465,59488308704,39257035384,29782391863,38533585081,29705916841,31148040796,24486601514,7385544285,5219315327,6663172752,6176312782,798239759,183069139.0,410251194.0,-8600311638,,,,2016
69892582397,68242497770,14190638384,0,31734884673,20635194101,21104772433,17327869316,14541270973,108632479495.0,30880757198,19528678192,12071400000,2100000000,44180110024.0,28122109692,64452369471.0,83722394571,77790620465,46297856524,39257035384,37424538047,38533585081,30404280268,31148040796,7020257779,7385544285,3178202400,3415921636,-2693642345,,,-9459238701,,,,2017
81319289295,69892582397,16146482345,8000000000,32982948713,31734884673,20655186462,18681665922,17327869316,129430896093.0,22643458678,30880757198,1862995981,4100000000,54950616992.0,36074407971,74480279101.0,109807238360,83722394571,62084536578,46297856524,47722701782,37424538047,37419089149,30404280268,10303612633,7020257779,9720721517,9254308486,13234742468,,,-22194229776,,,,2018
76009846035,81319289295,24796759201,0,26388299763,32982948713,20096446541,29373518250,18681665922,137340954489.0,27676478385,22643458678,6500000000,4024680000,58985117781.0,36557270994,78355836708.0,117971769760,109807238360,62184008474,62084536578,55787761286,47722701782,48649032516,39409256804,7138728770,8313444978,5557294371,7167342555,19113612968,,,-12034821538,,,,2019
73170715301,76009846035,12914988919,2174211513,26644753264,26388299763,28466399675,39738915600,29373518250,152810967587.0,49615559867,27676478385,14500000000,10642480000,76127366031.0,36319570617,76683601556.0,110104515277,117971769760,57843907258,62184008474,52260608019,55787761286,49012538776,48649032516,3248069243,7138728770,-2035287849,576879355,11694897084,,,-28015019274,,,,2020
155257001278,73170715301,22538502149,35344383563,43622868871,26644753264,47140579461,64589433441,39738915600,261474930913.0,67404786837,49615559867,18753706540,10420537425,99476592869.0,41398631292,161998338044.0,137999647178,110104515277,80682038200,57843907258,57317608978,52260608019,55087601461,49012538776,2230007517,3248069243,6583454676,5992080320,-9731417374,,,-65694007069,,,,2021
214268216964,155257001278,24414571347,5896056985,63639256311,43622868871,107271578605,101649208732,64589433441,370377135519.0,134703605469,67404786837,63603428551,4514068578,191672834052.0,56692739657,178704301467.0,239465349593,137999647178,137463595331,80682038200,102001754262,57317608978,86659199681,55087601461,15342554581,2230007517,16802562536,16029204390,-26082275337,,,-27577506314,,,,2022
283330105830,214268216964,55948737642,66353660449,68761036182,63639256311,82665416238,113528173806,101649208732,453689167828.0,101749213445,134703605469,123485812454,48511443536,453689167828.0,61271068988,275032308474.0,10375409026,17449410246,182652300292,137463595331,122390546759,102001754262,111664996232,86659199681,10725550527,15342554581,1623710445,5532426372,29818281841,,,-87553880303,,,,2023
225272824430,283330105830,21486672903,37682915144,70798496942,68761036182,87223090085,114876849322,113528173806,440693069678.0,91670412395,101749213445,71542525665,4124400000,440693069678.0,55195956175,264642289439.0,20489557043,10375409026,158342316794,182652300292,99427132089,122390546759,118870824867,111664996232,-19443692778,10725550527,774142997,-3011577414,3956964481,,,-26534890599,,,,2024
276818591472,225272824430,32845847951,500000000,130468495897,70798496942,100736640043,109056667778,114876849322,,147623211886,91670412395,64253742340,11568552312,,62997428632,,11137092347,20489557043,194738646944,158342316794,124889704096,99427132089,112936032870,118870824867,11953671226,-19443692778,-763692103,7463933868,-18239219642,,,16146106240,,,,2025
