current_assets,prev_current_assets,cash,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,revenue,prev_revenue,accounts_receivable,prev_accounts_receivable,capex,long_term_debt,roe,debt_ratio,opm,year,interest_expense,short_term_debt,sga_expense,prev_sga,equity_corrected,short_term_investments
,,92998433662,,,,3978987573613,,,726260114740,3190265358373,3252727458873.0,,,,,618616287900.0,595400402445.0,,454533658888,596486850677,258005878,,,,,-411462349819,,,,,2016,,,,,,
,,105573030318,,,,4185657487281,,,684421554024,3438847834683,3501235933257.0,,,,,530897334149.0,618616287900.0,,437540506708,463050000085,37233819,,,,,-250223124168,,,,,2017,,,,,,
,,48854127099,,,,4231241354319,,,644464265040,3524520490647,3586777089279.0,,,,,430699990552.0,530897334149.0,,297236881419,363918692477,24798770,,,,,-202048060762,,,,,2018,,,,,,
,,60665204556,,,,4438119305668,,,720360229425,3655506883996,3717759076243.0,,,,,501153152199.0,430699990552.0,,334653892485,407868874433,23900000,1520080448803.0,1438059298970.0,,,-211308892599,,,,,2019,,,,,,
,,66052962790,,,,3641632200970,,,394603620580,3184795742407,3247028580390.0,,,,,-431583873583.0,501153152199.0,,-275879104412,-655676332159,852910000,478578866341.0,1520080448803.0,,,844645282990,,,,,2020,,,,,,
,,206399109422,,,,3827273463677,,,574480852474,3190574350093,,,,,,,,,-10582086270,210874268539,3662832,788432829925.0,478578866341.0,,,-73863427793,,,,,2021,,,,,,
,,101060567371,,,,4167752670696,,,752374769957,3353163635967,,,,,,,,,115612767888,420172245612,612644,1270685819109.0,788432829925.0,,,-524207088857,,,,,2022,,,,,,
,,166186546142,,,,4448655838228,,,4448655838228,3615704387389,3677900816262.0,,,,,,,,340880761170,337848836029,774663,972256219163.0,915906500426.0,,,-202685723947,,,,,2023,,,,,,
,,244499636973,,,,4700641154570,,,4700641154570,3861476635982,3883662813757.0,,,,,,,,456893167585,487048778217,0,1000300815704.0,972256219163.0,,,-178055304699,,,,,2024,,,,,,
,,200357737326,,,,4845197185257,,,4845197185257,3953392141549,3964518835963.0,,,,,,,,318192728196,294467847955,0,1084130528065.0,1000300815704.0,,,-94373933987,,,,,2025,,,,,,909853450000.0
