total_assets,current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,short_term_investments,ppe_net,prev_ppe_net,total_equity,retained_earnings,total_liabilities,current_liabilities,prev_current_liabilities,long_term_debt,short_term_debt,operating_income,prev_operating_income,income_tax,depreciation,net_income,revenue,prev_revenue,capex,cash_from_operations,roe,debt_ratio,opm,year
17970008000000,2288523000000,2864776000000,1270893000000,237484000000,457718000000,113263000000,100798000000,242922000000,887167000000,15816517000000,320369000000,17970008000000,1380605000000,1819530000000,146000000,46894000000,-2339698000000,16052000000,-292263000000,88428000000,-1314834000000,2276508000000,2370553000000,284320000000,265749000000,,,,2023
21921051000000,2702773000000,2288523000000,1368298000000,176992000000,237484000000,42247000000,192532000000,170387000000,242922000000,19585415000000,3908275000000,21921051000000,1396345000000,1380605000000,296000000,15647000000,3912583000000,-2339698000000,185117000000,95033000000,3650515000000,1906611000000,2276508000000,89738000000,189954000000,,,,2024
30504546000000,2255464000000,2702773000000,1310718000000,135681000000,176992000000,14982000000,317762000000,152814000000,170387000000,27983163000000,12513997000000,30504546000000,974637000000,1396345000000,0,0,8797421000000,3920647000000,673991000000,74572000000,8818695000000,1411521000000,1649858000000,29594000000,387202000000,,,,2025
