current_assets,prev_current_assets,cash,short_term_investments,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,interest_expense,capex,depreciation,roe,debt_ratio,opm,year,accounts_receivable,prev_accounts_receivable,revenue,prev_revenue,sga_expense,prev_sga,short_term_debt
669849595312,626190376312,30863782180,447158388000,35294122943,78116119562,80933470612,1327035011897,60406908443,51316680352,129646302627,1058340692325,1197388709270,427672846362,420385632623,86117502709,89008539038,45602522072,48842390263,152177238711,122358706316,106473070051,0.0,-43739493809,0.0,,,,2016,,,,,,,
694934573975,669849595312,35924278171,318927928320,42527803575,89579047803,78116119562,1387720935767,65121452555,60406908443,143003571796,1114929597626,1244717363971,464476485116,427672846362,94603876227,86117502709,47673462930,45602522072,157562932383,126070590926,111445725124,,-27746573377,,,,,2017,62266867251.0,63305480484.0,559080361343.0,513790349071.0,46930413297.0,40514980637.0,1833072227.0
712673810969,694934573975,27266731596,441604398069,42577097363,85434783496,89579047803,1432202479586,58492850481,65121452555,142001817922,1161030475253,1290200661664,473205260621,464476485116,90319313485,94603876227,43217606807,47673462930,153811026378,120396956562,95372753005,,-26465499345,,,,,2018,60854605488.0,62266867251.0,563524574106.0,559080361343.0,47101706678.0,46930413297.0,46658715.0
729818738168,712673810969,23032528461,419836472716,32354661823,81796973608,85434783496,1478277015581,55883838311,58492850481,126335145726,1227763133955,1351941869855,418423975726,473205260621,83811959693,90319313485,38471985738,43217606807,153922128290,140545751689,106779239598,,-25556284202,,,,,2019,57665453841.0,60854605488.0,502235935419.0,563524574106.0,45339973955.0,47101706678.0,0.0
755493781403,729818738168,22093630814,622057166676,40213750382,48846778284,51162445867,1525770284059,55895949631,57123350811,128513682208,1275461286021,1397256601851,410873645659,420336266384,82167076642,85049871291,45114689622,41590791529,148332402036,120588759228,84004855459,,-12697688191,,,,,2020,60034811830.0,57665453841.0,493040722301.0,505386137675.0,37052387020.0,43459079762.0,320077530.0
780421145328,755493781403,20526764934,640280819340,48371447891,47679411302,48846778284,1582577880310,58685673847,55895949631,133970703050,1322597276247,1448607177260,456332594182,410873645659,78994725063,82167076642,38374679515,45114689622,141296719479,115145658677,84765950306,,-14835458779,,,,,2021,58765401504.0,60034811830.0,535327319245.0,493040722301.0,40620045548.0,37052387020.0,831592920.0
812498508803,780421145328,20756866697,656436982405,57145306654,46954231335,47679411302,1627852719302,67707637636,58685673847,82302460449,1428774452895,1545550258853,474749979557,456332594182,81736629162,78994725063,39175078067,38374679515,129336420914,169611048759,86159438842,,-15011204794,,,,,2022,66937208127.0,58765401504.0,556486608719.0,535327319245.0,42561551095.0,40620045548.0,1440087209.0
851964860367,812498508803,35097497319,688000405000,55701870591,47758206461,46954231335,1694019807604,57996437367,67707637636,1694019807604,1498046591827,1622874727791,403351554750,474749979557,86343986819,81736629162,43752486840,39175078067,17027762139,146302302445,118090904703,,-28966570649,,,,,2023,61833661710.0,66937208127.0,489695541569.0,556486608719.0,42591499979.0,42561551095.0,806729922.0
899754296790,851964860367,29362996096,664018335000,66769587918,42191550804,47758206461,1779146551075,59271554235,57996437367,1779146551075,1575985106371,1709476549885,403357063990,403351554750,85503328555,86343986819,44476967156,43752486840,17936645898,159046264652,113240689853,,-41724264174,,,,,2024,59302575715.0,61833661710.0,488860392545.0,489695541569.0,41026361399.0,42591499979.0,2541227541.0
896818125836,899754296790,38923278454,621000000000,68190795291,41141265304,42191550804,1798366336076,50762863252,59271554235,1798366336076,1609766686947,1737278347482,445032430656,403357063990,87846070269,85503328555,45337393517,44476967156,15543884151,146463695390,106243502438,,18891370213,,,,,2025,65566131214.0,59302575715.0,532878500925.0,488860392545.0,42508676752.0,41026361399.0,1896791452.0
