current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,depreciation
,,2644213511000,3024248125000,,,,,,32581330983000,,,,,14276285724000,10670829483000,18305045259000,39520538747000,48356320414000,,,,,,,,,,1721434289000.0,3677753976000,-2056093585000,,,,2016,
,,2003740408000,2245428888000,,,,,,34243603274000,,,,,14934270375000,12041707802000,19309332899000,46260932050000,39520538747000,,,,,,,22737.0,17984.0,,2155669218000.0,2180164479000,-1066146599000,,,,2017,
,,1855920813000,2671963400000,,,,,,36085384070000,,,,,16757401405000,12930338005000,19327982665000,54510898386000,46162655997000,,,,,,,18123.0,22597.0,,1709984041000.0,1728062366000,-2476813549000,,,,2018,
,,2196001396000,2376093788000,,,,,,39526056607000,,,,,21316432845000,12175219414000,18209623762000,49876534172000,54216524175000,,,,,,,1269292250000.0,2103165092000.0,,65774590000.0,1825833804000,-3166766482000,,,,2019,
,,2940661256000,1970641924000,,,,,,38498146106000,,,,,23039681023000,9891253221000,15458465083000,34164529332000,49306938167000,,,,,,,-2568795615000.0,1113646302000.0,,-2241718105000.0,2850843672000,-4128744600000,,,,2020,
,,3423827161000,3987479437000,,,,,,49557440204000,,,,,29924245706000,10211214134000,19633194498000,46842929105000,34549940259000,,,,,,,1754170704000.0,-2420286372000.0,,457259599000.0,-482982766000,-4123229294000,,,,2021,
,,9479086529000,1460282743000,,,,,,67218924277000,,,,,43976612895000,11579657924000,23242311382000,78056939448000,46853415718000,,,,,,,3917340789000.0,1741672570000.0,,1895179127000.0,406557024000,-5123322784000,,,,2022,
,,13074425609000,317883688000,,,,,,80835513251000,,,,,80835513251000,11252835251000,30019967513000,77288485864000,78056939448000,,,,,,,,,,554894277000.0,5367895813000,-11244232781000,,,,2023,
,,15865084196000,235915436000,,,,,,110530097549000,,,,,70881188555000,8231276686000,39648908994000,74716970174000,77288485864000,,,,,,,,,,-2372482956000.0,2232521961000,-7295310430000,,,,2024,195980000.0
,,16091551855000,253291655000,,,,,,105608481396000,,,,,69216985650000,4304259813000,36391495746000,80296054243000,74269646737000,,,,,,,448683859000.0,355696515000.0,,,2283052527000,-4285448724000,,,,2025,9696190000.0
