date,name,position,change_dir,shares_before,shares_after,change_amount
2025-01-06,조현세,,,0,0,0
2025-01-06,박창민,,,0,0,0
2025-08-08,김도화,,,0,0,0
2025-01-06,박창민,,,0,0,0
2025-01-06,조현세,,,0,0,0
2025-08-08,김도화,,,0,0,0
2026-06-12,김익수,,,0,0,0
2026-06-12,이원상,,,0,0,0
2026-06-12,이경필,,,0,0,0
2026-06-12,조규출,,,0,0,0
2026-06-12,김성현,,,0,0,0
2026-06-12,김영일,,,0,0,0
2026-06-12,김주한,,,0,0,0
2026-06-12,서정기,,,0,0,0
2026-06-12,서준모,,,0,0,0
2026-06-12,김종수,,,0,0,0
2026-06-12,윤성욱,,,0,0,0
2026-06-12,신동선,,,0,0,0
2026-06-12,박훈모,,,0,0,0
2026-06-12,김도화,,,0,0,0
2026-06-12,강금상,,,0,0,0
2026-06-12,조일연,,,0,0,0
2026-06-12,김명근,,,0,0,0
2026-06-12,장재면,,,0,0,0
2026-06-12,박창민,,,0,0,0
2026-06-12,한성욱,,,0,0,0
2026-06-12,곽철훈,,,0,0,0
2026-06-12,조현세,,,0,0,0
2026-06-12,공명상,,,0,0,0
2026-06-12,강성훈,,,0,0,0
2026-06-12,윤정한,,,0,0,0
2026-06-12,최병희,,,0,0,0
2026-06-12,남궁혁준,,,0,0,0
2026-06-12,최영진,,,0,0,0
2026-06-12,한항인,,,0,0,0
2026-06-12,정창선,,,0,0,0
2026-06-12,김성일,,,0,0,0
2026-06-12,정승우,,,0,0,0
2026-06-12,박영순,,,0,0,0
2026-06-12,조형준,,,0,0,0
2026-06-12,정재호,,,0,0,0
2026-06-12,이용배,,,0,0,0
2026-06-12,김희권,,,0,0,0
