current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_investments,total_equity,equity_corrected,roe,debt_ratio,opm,year
,,59234178586,,,,,,798986124781,,,,,331668500645,135690011343,854748843876,616085054981,,,,,,,54769281487,37077549715,,46658311822,125031118212,-94395437431,0,,,,,,2020
,,104647514160,,,,,,1425857751938,,,,,829712539065,224002742753,1485628623826,854748843876,,,,,,,115031248500,54769281487,,97789788764,-100889335917,-237286289757,20550000000,596145212873.0,,,,,2021
,,320363496754,,,,,,3374166378975,,,,,1885951251552,432243505289,5357607238956,1485628623826,,,,,,,380676718075,115031248500,,272653525172,-241250246729,-534742092456,42003600000,1488215127423.0,,,,,2022
,,512656569606,,,,,,4361774597751,,,,,4361774597751,375341057003,6900867843535,5357607238956,,,,,,,156029935394,380676718075,,54685871623,20620682315,-672543566821,170000000000,1599392286411.0,,,,,2023
,,499194114971,,,,,,4323660098124,,,,,4323660098124,275409232154,2766837750152,6900867843535,,,,,,,-34109364109,156029935394,,-58508991346,670144487342,-1021816709275,40000000000,1977019769174.0,,,,,2024
,,518548123832,,,,,,4882022445703,,,,,4882022445703,296416867939,2531576384113,2766837750152,,,,,,,143309899725,-34109364109,,91587534892,214707183992,-490657793392,150000000000,2016007934583.0,,,,,2025
