current_assets,prev_current_assets,cash,short_term_investments,inventory,depreciation,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,accounts_receivable,prev_accounts_receivable
5354345946301,0,2044760806307,218224241116,939555743852,25771295,132053783359,0,8701690202744,3136739509756,0,196552100620,810330082097,4204543036708,580286638489,4497147166036,7631650898582,0,6245280043968,0,1386370854614,0,429112871700,0,957257982914,0,909251180295,635835953637,580428921799,-337950703004,,,,2021,,
5403768957903,5354345946301,1752398719194,517330193397,852774611744,200265421,132190317364,132053783359,8974717444285,3210693538872,3136739509756,261212192561,836782251836,4282240934857,858083898891,4692476509428,7496823679468,7631650898582,6565498442410,6245280043968,931325237058,1386370854614,434360006978,429112871700,496965230080,957257982914,595473468875,431557865893,151964571116,-385734321290,,,,2022,,
5782745971638,5403768957903,2004092329460,204572917776,938052092932,204112861,128392845668,132190317364,9344058758180,3748597999373,3210693538872,1683094437560,3405559044,9344058758180,990488915347,4768781215299,7991063616680,7496823679468,7208953031303,6565498442410,782110585377,931325237058,451451195145,434360006978,330659390232,496965230080,77583969048,202169475522,231329443719,201335003264,,,,2023,1404962815838.0,1209238843861.0
6005539219289,5782745971638,1864415355649,206695594340,921250894686,251188819,36037138199,128392845668,9712402219987,3854535631268,3748597999373,1830922275000,230252100620,9712402219987,1076158962835,4845710111118,203121227839,77068955758,7472677266880,7208953031303,845765168177,782110585377,574820308635,451451195145,270944859542,330659390232,124724550530,229223745163,187869609709,-167139458817,,,,2024,1739894217177.0,1404962815838.0
5634748961558,6005539219289,1844315983193,208885659863,886176056626,238744978,42407929165,36037138199,9669288095980,3726528854254,3854535631268,519274372386,444336959874,9669288095980,1423181661542,5244091831162,193718373623,203121227839,6502256853441,7472677266880,900168273219,845765168177,513215005400,574820308635,386953267819,270944859542,-252996093327,370189019489,232139885997,-51764268788,,,,2025,1621382678652.0,1739894217177.0
