current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
,,15533051917,,,,,,250952924476,,,,,89602353484,54197597181,161350570992,276195590231,246043242375,,,,,,,,,,18849483999,16403337815,-62117718586,,,,2016
,,13082730276,,,,,,290423756529,,,,,109332575165,74027460664,181091181364,325060603312,276195590231,,,,,,,33853548442.0,25837519917.0,,23892277175,23658688474,-36518908888,,,,2017
,,9427970517,,,,,,306239933904,,,,,109877932601,89415316301,196362001303,363290231265,325060603312,,,,,,,26761214194.0,33853548442.0,,20727839096,36762813333,-29644020614,,,,2018
,,8019092986,,,,,,326587242970,,,,,118049126102,101748973805,208538116868,381400317567,363290231265,,,,,,,27024997834.0,26761214194.0,,18231057672,33520290708,-31855607603,,,,2019
,,23393855956,,,,,,383211976358,,,,,151373191556,125049386934,231838784802,458746167572,381400317567,,,,,,,43519674567.0,27024997834.0,,29989719980,44378902199,-38756950670,,,,2020
,,29263310495,,,,,,474947833310,,,,,180632904766,187515948920,294314928544,655373012865,458746167572,,,,,,,86329952850.0,43519674567.0,,71051643499,57112624480,-33492043095,,,,2021
,,76297795717,,,,,,659613821545,,,,,212318527504,340510401262,447295294041,839357973218,655373012865,,,,,,,204416060360.0,86329952850.0,,159399505537,196854231788,-122494575458,,,,2022
,,139794120429,,,,,,688727319732,,,,,688727319732,407983661081,515050369128,672245278175,839357973218,,,,,,,102511938741.0,204416060360.0,,84426426250,143107280404,-67820622399,,,,2023
,,84126977522,,,,,,794194183895,,,,,794194183895,448972582750,556276567172,602993604010,672245278175,,,,,,,,,,58697149418,60622308704,-143770309223,,,,2024
,,108305296825,,,,,,880631376376,,,,,880631376376,457227031270,564369713446,653396882375,602993604010,,,,,,,,,,23820804171,66962774761,-118817430464,,,,2025
