current_assets,prev_current_assets,cash,short_term_investments,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_debt,roe,debt_ratio,opm,year,accounts_receivable,prev_accounts_receivable
,,28850120614,300000000000,,,,6424201164962,,,,1825417992598,1953597729261,4598783172364,1164776873641,701591859755,,,,,,,,,,240974799963,202090026541,-418685827377,,,,,2020,,
,,47410383773,450000000000,,,,7970010786863,,,,2978908646183,2347187196916,4991102140680,1568006928039,1164776873641,,,,,,,,,,393589467655,454596217269,-933489190955,,,,,2021,,
,,890819570657,2168901000000,,,,16582050258486,,,,7597575863329,3145601435827,8984474395157,3001295197683,1568006928039,,,,,,,,,,798056210082,953047810086,-3106477133450,,,,,2022,,
,,367937365042,1650000000000,,,,16046197209196,,,,16046197209196,4003292734211,9830492412345,3694588767068,3001295197683,,,,,,,,,,857691298384,1666228521442,-1566305449622,,,,,2023,,
,,391221617203,907350000000,,,,17336296349511,,,,6431620287493,5086608620197,10904676062018,4547322176421,3694588767068,,,,,,,1320052380133.0,1113680009715.0,,1083315885986,1659255402663,-1243776304347,,,,,2024,,
,,148851266520,1307174500000,,,,11060741976837,,,,3609631328852,6870960680790,7451110647985,4556971695180,3497145675782,,,,,,,2069221266630.0,1321366380588.0,,1784352060593,2247807426551,-1862425927878,,,,,2025,,
