year,quarter,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum
2025,Q1,486688724699.0,0.0,1298272949854.0,0.0,486688724699.0,1298272949854.0,,,,0.0,0.0
2025,Q2,475599675863.0,0.0,1289905421405.0,0.0,-11089048836.0,-8367528449.0,,,-1.0227846840767847,-0.7071067811865476,-1.0
2025,Q3,728848136440.0,0.0,1660220823312.0,0.0,253248460577.0,370315401907.0,,,-23.837708113868388,0.04135369400217346,0.0
2025,Q4,2069221266630.0,1321366380588.0,4556971695180.0,3497145675782.0,1340373130190.0,2896750871868.0,,,4.292719754884593,1.4065223037711763,1.0
2026,Q1,580752580824.0,0.0,1257119188891.0,0.0,580752580824.0,1257119188891.0,-0.031698851129593385,0.19327313609571542,-0.5667231998736968,0.0682086307943054,3.0
