total_assets,cash,depreciation,ppe_net,prev_ppe_net,total_equity,retained_earnings,total_liabilities,interest_expense,revenue,prev_revenue,income_tax,net_income,operating_income,prev_operating_income,capex,cash_from_operations,roe,debt_ratio,opm,year
12066324170936,510175242911,3626015165027,96652272000,114453638288,3252895729256,2126913148235,12066324170936,358681803,694071531153,695106368682,77567510455,283868821363,363673397057,352407503240,-794265525844,638604376635,,,,2023
13160392022865,399416075590,2565506880920,106418961566,96652272000,3452869465595,2323300295355,13160392022865,418029228,1091879953121,694139864612,82143238464,316671748113,405432507241,363673397057,-1153329160618,1151147599262,,,,2024
14259770701794,283785589735,2055312440094,49717330130,106418961566,3683421777221,2512219916119,14259770701794,924128227,901084529545,1091879953121,140235577423,322041488493,470938604768,405432507241,-1641718153046,1668722873508,,,,2025
