date,regime,score,vix,ret_20d
2025-02-26,BULL,0.55,0.1673,0.0448
2025-02-27,BULL,0.55,0.1681,0.0345
2025-02-28,NEUTRAL,0.4,0.2055,0.01
2025-03-04,BULL,0.55,0.1779,0.0359
2025-03-05,BULL,0.55,0.1748,0.0309
2025-03-06,BULL,0.55,0.1734,0.0288
2025-03-07,BULL,0.55,0.1716,0.0138
2025-03-10,BULL,0.55,0.1695,0.0229
2025-03-11,BULL,0.55,0.175,0.0093
2025-03-12,BULL,0.55,0.1815,0.0172
2025-03-13,BULL,0.55,0.1826,0.011
2025-03-14,BULL,0.55,0.1795,0.0054
2025-03-17,BULL,0.85,0.1913,0.0199
2025-03-18,BULL,0.85,0.19,0.015
2025-03-19,BULL,0.85,0.1906,0.0162
2025-03-20,BULL,0.85,0.178,0.0027
2025-03-21,BULL,0.85,0.1755,0.0163
2025-03-24,BULL,0.85,0.1761,0.0116
2025-03-25,BULL,0.85,0.1754,0.0133
2025-03-26,BULL,0.85,0.1759,0.0272
2025-03-27,BULL,0.85,0.1818,0.0096
2025-03-28,NEUTRAL,0.35,0.1906,-0.0027
2025-03-31,NEUTRAL,0.35,0.1795,0.0025
2025-04-01,BULL,0.55,0.1859,0.0194
2025-04-02,NEUTRAL,0.35,0.1854,0.0067
2025-04-03,BEAR,0.15,0.1872,-0.0154
2025-04-04,BEAR,0.15,0.189,-0.0196
2025-04-07,BEAR,0.0,0.2731,-0.0776
2025-04-08,BEAR,0.0,0.2719,-0.0675
2025-04-09,BEAR,0.0,0.266,-0.0974
2025-04-10,BEAR,0.0,0.3552,-0.0371
2025-04-11,BEAR,0.0,0.3542,-0.0453
2025-04-14,BEAR,0.0,0.3467,-0.0576
2025-04-15,BEAR,0.0,0.3491,-0.0507
2025-04-16,BEAR,0.0,0.3496,-0.0734
2025-04-17,BEAR,0.0,0.351,-0.0705
2025-04-18,BEAR,0.0,0.3517,-0.0686
2025-04-21,BEAR,0.0,0.3521,-0.0641
2025-04-22,BEAR,0.0,0.352,-0.0629
2025-04-23,BEAR,0.0,0.3577,-0.054
2025-04-24,BEAR,0.0,0.3559,-0.0439
2025-04-25,BEAR,0.0,0.354,-0.0192
2025-04-28,NEUTRAL,0.4,0.339,0.0099
2025-04-29,NEUTRAL,0.4,0.3361,0.0024
2025-04-30,NEUTRAL,0.4,0.3356,0.0053
2025-05-02,NEUTRAL,0.4,0.3322,0.0189
2025-05-07,BULL,0.7,0.331,0.0368
2025-05-08,BULL,0.7,0.2482,0.0999
2025-05-09,BULL,0.7,0.2482,0.1003
2025-05-12,BULL,0.7,0.2366,0.1347
2025-05-13,BULL,0.85,0.1175,0.0713
2025-05-14,BULL,0.85,0.1198,0.089
2025-05-15,BULL,0.85,0.1264,0.0741
2025-05-16,BULL,0.85,0.1243,0.0676
2025-05-19,BULL,0.85,0.1163,0.0723
2025-05-20,BULL,0.85,0.1139,0.0639
2025-05-21,BULL,0.85,0.1138,0.0634
2025-05-22,BULL,0.85,0.127,0.0483
2025-05-23,BULL,0.85,0.1254,0.0527
2025-05-26,BULL,0.85,0.1221,0.0505
2025-05-27,BULL,0.85,0.1211,0.0557
2025-05-28,BULL,0.85,0.125,0.0602
2025-05-29,BULL,0.85,0.1381,0.0804
2025-05-30,BULL,0.85,0.1455,0.0628
2025-06-02,BULL,0.85,0.1449,0.0645
2025-06-04,BULL,0.85,0.1691,0.0935
2025-06-05,BULL,0.85,0.1748,0.1032
2025-06-09,BULL,0.85,0.1792,0.1218
2025-06-10,BULL,0.85,0.1778,0.1286
2025-06-11,BULL,0.85,0.1766,0.1259
2025-06-12,BULL,0.85,0.1767,0.1253
2025-06-13,BULL,0.85,0.1814,0.1011
2025-06-16,BULL,0.85,0.1812,0.1296
2025-06-17,BULL,0.85,0.1815,0.1284
2025-06-18,BULL,0.85,0.1697,0.1509
2025-06-19,BULL,0.85,0.1698,0.1504
2025-06-20,BULL,0.85,0.1715,0.1592
2025-06-23,BULL,0.85,0.1576,0.1731
2025-06-24,BULL,0.85,0.178,0.2108
2025-06-25,BULL,0.85,0.1778,0.1955
2025-06-26,BULL,0.85,0.1881,0.181
2025-06-27,BULL,0.85,0.1937,0.158
2025-06-30,BULL,0.85,0.1882,0.1428
2025-07-01,BULL,0.85,0.1789,0.1572
2025-07-02,BULL,0.85,0.1812,0.1532
2025-07-03,BULL,0.85,0.1671,0.1391
2025-07-04,BULL,0.85,0.185,0.0979
2025-07-07,BULL,0.85,0.1793,0.0809
2025-07-08,BULL,0.85,0.1865,0.0945
2025-07-09,BULL,0.85,0.1846,0.085
2025-07-10,BULL,0.85,0.187,0.0971
2025-07-11,BULL,0.85,0.1813,0.1071
2025-07-14,BULL,0.85,0.1754,0.0973
2025-07-15,BULL,0.85,0.1754,0.1016
2025-07-16,BULL,0.85,0.1818,0.0821
2025-07-17,BULL,0.85,0.1818,0.0825
2025-07-18,BULL,0.85,0.1787,0.0664
2025-07-21,BULL,0.85,0.1787,0.0761
2025-07-22,BULL,0.85,0.1524,0.0274
2025-07-23,BULL,0.85,0.1525,0.0279
2025-07-24,BULL,0.85,0.1478,0.0362
2025-07-25,BULL,0.85,0.1448,0.0453
2025-07-28,BULL,0.85,0.1444,0.044
2025-07-29,BULL,0.85,0.1453,0.0481
2025-07-30,BULL,0.85,0.1449,0.0611
2025-07-31,BULL,0.85,0.1383,0.0424
2025-08-01,BULL,0.85,0.1919,0.0197
2025-08-04,BULL,0.85,0.1955,0.0299
2025-08-05,BULL,0.85,0.1906,0.0249
2025-08-06,BULL,0.85,0.1906,0.0213
2025-08-07,BULL,0.85,0.1876,0.0168
2025-08-08,BULL,0.85,0.1879,0.0138
2025-08-11,BULL,0.85,0.1852,0.0047
2025-08-12,BULL,0.65,0.1841,-0.005
2025-08-13,BULL,0.85,0.1843,0.0147
2025-08-14,BULL,0.85,0.1844,0.0118
2025-08-18,BULL,0.65,0.1926,-0.0025
2025-08-19,BULL,0.65,0.1916,-0.0175
2025-08-20,BULL,0.65,0.1866,-0.0097
2025-08-21,BULL,0.65,0.1864,-0.0108
2025-08-22,BULL,0.65,0.1889,-0.0016
2025-08-25,BULL,0.85,0.1937,0.0081
2025-08-26,BULL,0.65,0.1959,-0.0066
2025-08-27,BULL,0.65,0.1943,-0.0117
2025-08-28,BULL,0.65,0.1925,-0.0151
2025-08-29,BULL,0.65,0.1928,-0.0165
2025-09-01,BULL,0.65,0.1387,0.008
2025-09-02,BULL,0.85,0.1378,0.007
2025-09-03,BULL,0.65,0.1301,-0.0015
2025-09-04,BULL,0.85,0.1308,0.0028
2025-09-05,BULL,0.65,0.1279,-0.0017
2025-09-08,BULL,0.85,0.1283,0.0046
2025-09-09,BULL,0.85,0.1367,0.0181
2025-09-10,BULL,0.85,0.1529,0.0428
2025-09-11,BULL,0.85,0.1509,0.039
2025-09-12,BULL,0.85,0.1635,0.0609
2025-09-15,BULL,0.85,0.1491,0.0836
2025-09-16,BULL,0.85,0.149,0.1091
2025-09-17,BULL,0.85,0.1567,0.1021
2025-09-18,BULL,0.85,0.1626,0.1186
2025-09-19,BULL,0.85,0.1655,0.1054
2025-09-22,BULL,0.85,0.1643,0.1027
2025-09-23,BULL,0.85,0.1556,0.1221
2025-09-24,BULL,0.85,0.1581,0.1168
2025-09-25,BULL,0.85,0.1592,0.1115
2025-09-26,BULL,0.85,0.1878,0.089
2025-09-29,BULL,0.85,0.1741,0.1245
2025-09-30,BULL,0.85,0.1758,0.1097
2025-10-01,BULL,0.85,0.1768,0.1158
2025-10-02,BULL,0.85,0.1962,0.1448
2025-10-10,BULL,0.7,0.2064,0.1692
2025-10-13,BULL,0.7,0.2148,0.154
2025-10-14,BULL,0.7,0.2218,0.1269
2025-10-15,BULL,0.7,0.229,0.1344
2025-10-16,BULL,0.7,0.2395,0.1566
2025-10-17,BULL,0.7,0.2351,0.1369
2025-10-20,BULL,0.7,0.2387,0.1508
2025-10-21,BULL,0.7,0.2368,0.1348
2025-10-22,BULL,0.7,0.2268,0.1619
2025-10-23,BULL,0.7,0.2323,0.1299
2025-10-24,BULL,0.7,0.2394,0.1636
2025-10-27,BULL,0.7,0.2494,0.184
2025-10-28,BULL,0.7,0.2579,0.1629
2025-10-29,BULL,0.7,0.2586,0.1909
2025-10-30,BULL,0.7,0.2575,0.1947
2025-10-31,BULL,0.7,0.2263,0.239
2025-11-03,BULL,0.7,0.2366,0.2578
2025-11-04,BULL,0.7,0.2703,0.2265
2025-11-05,BULL,0.7,0.302,0.1801
2025-11-06,BULL,0.7,0.2914,0.1522
2025-11-07,BULL,0.7,0.2964,0.1034
2025-11-10,BULL,0.7,0.3044,0.1475
2025-11-11,BULL,0.7,0.2976,0.1701
2025-11-12,BULL,0.7,0.2887,0.1504
2025-11-13,BULL,0.7,0.2799,0.1261
2025-11-14,BULL,0.7,0.3301,0.0742
2025-11-17,BULL,0.7,0.332,0.0774
2025-11-18,BULL,0.7,0.3571,0.0394
2025-11-19,BULL,0.7,0.3568,0.0206
2025-11-20,BULL,0.7,0.3608,0.0537
2025-11-21,NEUTRAL,0.5,0.3827,-0.0162
2025-11-24,NEUTRAL,0.5,0.3682,-0.0428
2025-11-25,NEUTRAL,0.5,0.3683,-0.0262
2025-11-26,NEUTRAL,0.5,0.3737,-0.0203
2025-11-27,NEUTRAL,0.5,0.3744,-0.0169
2025-11-28,NEUTRAL,0.5,0.3744,-0.0429
2025-12-01,NEUTRAL,0.5,0.3543,-0.0727
2025-12-02,NEUTRAL,0.5,0.3515,-0.0275
2025-12-03,BULL,0.7,0.3395,0.0111
2025-12-04,BULL,0.7,0.3392,0.0031
2025-12-05,BULL,0.7,0.338,0.041
2025-12-08,BULL,0.7,0.3243,0.0237
2025-12-09,BULL,0.7,0.3237,0.0088
2025-12-10,NEUTRAL,0.5,0.3217,-0.002
2025-12-11,NEUTRAL,0.5,0.3225,-0.0147
2025-12-12,BULL,0.7,0.2836,0.044
