total_assets,cash,depreciation,ppe_net,prev_ppe_net,total_equity,retained_earnings,total_liabilities,long_term_debt,interest_expense,revenue,prev_revenue,income_tax,operating_income,prev_operating_income,net_income,capex,cash_from_operations,roe,debt_ratio,opm,year
44087986399072,1175076403366,11435751102679,,,6055391876258,6411732725392,44087986399072,,,,,,-412231527759,-387017385971,607828606638,-1193255094807,2122823148521,,,,2023
48523790593883,1447967064247,11889403464446,,,4743378657629,7070388169170,48523790593883,,,,,,-437998695525,-412231527759,850533055882,-2710445799043,1393704048179,,,,2024
50429646840633,1509674177483,10907965284456,,,5157512762473,8160716899495,50429646840633,,,,,,-396479963567,-437998695525,1019820047983,-4041335508131,3527079478029,,,,2025
