current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,retained_earnings,revenue,prev_revenue,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,total_assets,total_liabilities
3645213671718,3409424274980,1152223444455,170200000000,888882016901,927643597211,767972258097,851044148354,844476290622,2263964207635,2019510061023,544857759623,264003838750,2185556681197,2185556681197,1917240718789,5784577178519,3854731643309,3806265519193,895154722509,796343222447,377945859388,406809136419,517208863121,389534086028,459523464914,330961362871,839771009046,-88963170948,,,,2016,,
4186158929327,3645213671718,1278709062222,195837928508,2129258556343,1537687378823,574267783359,1035201468065,851044148354,2414785354839,2263964207635,433023699384,353791393309,2524439964309,5358684696822,4749886365818,2962479201056,4372257359620,3854731643309,986427337202,895154722509,340291756209,377945859388,646135580993,517208863121,605374861684,413666375548,453241972555,-228969801929,,,,2017,6539447494370.0,3576968293314.0
967155059636,4186158929327,276057788132,58476522991,294665418402,965303706502,268105633197,688632455161,1035201468065,688185445407,2414785354839,265616516027,0,3145762301938,1547840798825,1521022845849,2106090484775,1280033056050,1275037109124,267807742775,245985736725,172380301098,160431779834,95427441677,85553956891,114146476397,91294282877,127946072475,-132246825001,,,,2018,3409742246791.0,1303651762016.0
1072404021393,960275679136,139456582016,322825724212,267472216265,294665418402,238083685599,781393256446,688632455161,934362388837,688185445407,370156704237,0,3392078363564,1616692249290,1547840798825,2351210377231,1316072139711,1280033056050,300620109579,267807742775,172498615067,172380301098,128121494512,95427441677,307736513111,275086282251,170017140133,-408641025420,,,,2019,4208951127647.0,1857740750416.0
5830185892907,1072404021393,812773889079,1540501259866,544648573552,267472216265,934039904922,1419691653404,781393256446,3328383405717,934362388837,1079072480741,489664995048,3485148573746,3951863002088,1616692249290,4345245649394,3082669108895,1316072139711,869193893193,300620109579,324523098405,172498615067,544670794788,128121494512,289057188002,191342520242,-474239487222,364572676013,,,,2020,9617140797332.0,5271895147938.0
6451751160577,5830185892907,668771838001,1560089843409,652151888596,544648573552,1471088373631,1541917426520,1419691653404,3920442872096,3328383405717,1176321675300,593368835476,3570429975406,4779586328802,3951863002088,4804806800514,3960609590617,3082669108895,818976738185,869193893193,450279702936,324523098405,368697035249,544670794788,385510580724,230227330341,-8772539265,-276726156466,,,,2021,10651491647775.0,5846684847261.0
6762367303826,6451751160577,792767154417,220904236585,657635656142,652151888596,2163502335266,1916924934207,1541917426520,4356654859253,3920442872096,1870366525916,404240672754,3557870431462,5044944531629,4779586328802,4832838799122,4500392967250,3960609590617,544551564379,818976738185,386016085937,450279702936,158535478442,368697035249,133502475796,36958373233,-1413595133970,799071688817,,,,2022,11592341237983.0,6759502438861.0
6590724166780,6762367303826,756026793122,329542275313,948900522606,657635656142,2178348680613,2230056006608,1916924934207,4179885119650,4356654859253,1214378586586,718656845027,3649880797687,5908284632279,5044944531629,5014408829571,5233466651617,4500392967250,674817980662,544551564379,362174723324,386016085937,312643257338,158535478442,131960305846,212938887004,244287077986,-465718869524,,,,2023,11620863118257.0,11620863118257.0
7159430992590,6590724166780,1094119164790,348545139428,1151978533724,948900522606,2525196751841,2563301720620,2230056006608,4829691304933,4179885119650,1429138210912,955473300791,3770530139674,6200260255330,5908284632279,5098799362525,5450418880408,5233466651617,749841374922,674817980662,405142696819,362174723324,344698678103,312643257338,87133550935,260301619623,508956314618,-475940024725,,,,2024,12398308042444.0,12398308042444.0
6674837187142,7159430992590,1331012843115,353712416476,1280698415011,1151978533724,2260703810629,2838751286663,2563301720620,4431569355106,4829691304933,1476794207016,613316603460,4053382426903,6584797969627,6200260255330,5428726196750,5408068809117,5450418880408,1176729160510,749841374922,527861026286,405142696819,648868134224,344698678103,132366396390,416483422703,467347129186,-249057889127,,,,2025,12685578705605.0,12685578705605.0
