날짜,시가,고가,저가,종가,거래량
2016-05-09,33083.19829035874,34394.1875,33044.63978419283,34394.1875,498756.0
2016-05-10,34239.947134815244,34239.947134815244,32697.607173787528,33391.66015625,310290.0
2016-05-11,33198.87045338115,33275.987457918614,32697.609923887587,32928.9609375,300479.0
2016-05-12,32890.40206801471,33044.63607536765,32504.81704963235,32774.7265625,217871.0
2016-05-13,32774.726007109006,32967.518513033174,32389.140995260663,32543.375,220559.0
2016-05-16,32312.02087918134,32851.83984375,32273.462381712146,32851.83984375,220541.0
2016-05-17,32504.817140680083,32851.843658196245,32504.817140680083,32813.28515625,201342.0
2016-05-18,32466.260304576947,32697.611328125,31695.09022608343,32697.611328125,344639.0
2016-05-19,32157.792096077126,32774.72815547429,31849.324066378547,32620.494140625,296249.0
2016-05-20,32427.701889631182,32736.169921875,32234.9093694788,32736.169921875,270691.0
2016-05-23,32736.16348581789,32736.16348581789,31733.642578125,31733.642578125,372289.0
2016-05-24,31540.854828144267,31695.088837083847,31270.9453125,31270.9453125,401264.0
2016-05-25,31502.298037462348,32350.585132718374,31502.298037462348,32003.55859375,328205.0
2016-05-26,32003.55682373047,32312.024841308594,31810.76431274414,32080.673828125,176193.0
2016-05-27,32234.9104216329,32427.70294807807,31849.325368742553,32350.5859375,177966.0
2016-05-30,32196.351916343865,32427.70294807807,32080.67640047676,32350.5859375,192857.0
2016-05-31,32119.232121217687,32813.28515625,32042.115117325207,32813.28515625,593522.0
2016-06-01,32620.49556361607,32813.2880905878,32234.91050967262,32389.14453125,296016.0
2016-06-02,32196.350777104217,32967.52085559773,32080.67526533019,32697.611328125,231542.0
2016-06-03,32928.9572229118,33006.07421875,32581.93074163989,33006.07421875,234547.0
2016-06-07,32736.169678859445,33507.339753744236,32697.611175115206,33468.78125,334185.0
2016-06-08,33468.78240280931,34085.71848396708,33314.54838251987,33970.04296875,507279.0
2016-06-09,33815.811295987834,33815.811295987834,32851.84860225956,33275.9921875,452974.0
2016-06-10,33275.98446994358,33507.33546278212,32890.39948187934,33314.54296875,206646.0
2016-06-13,33160.308498253784,33468.77648428405,32928.95750873108,33121.75,183653.0
2016-06-14,32928.960011848336,33006.077014218004,32466.25799763033,32543.375,194035.0
2016-06-15,32350.58249407583,32813.28450829384,32350.58249407583,32543.375,214653.0
2016-06-16,32466.25538101105,32620.48937331989,32119.22889831616,32273.462890625,226875.0
2016-06-17,32157.79358650416,32543.378641498217,32042.118070005945,32427.703125,303721.0
2016-06-20,33006.07757352941,33006.07757352941,32196.34903492647,32774.7265625,209511.0
2016-06-21,32466.25799763033,32813.28450829384,32350.58249407583,32543.375,176152.0
2016-06-22,32659.048638590975,32697.607137573963,32273.463648761095,32581.931640625,217021.0
2016-06-23,32659.0505035545,32967.518513033174,32466.25799763033,32543.375,154099.0
2016-06-24,32389.14239633055,32697.610419152745,31617.97233927506,32312.025390625,407642.0
2016-06-27,32312.023992890994,32813.28450829384,31926.43898104265,32543.375,291816.0
2016-06-28,32080.67469512195,32234.908708079267,31463.738643292683,31617.97265625,448614.0
2016-06-29,31656.533203125,31887.884237496193,31463.74067448234,31656.533203125,378254.0
2016-06-30,31733.64748904002,32196.349518041818,31695.088986623203,32157.791015625,271980.0
2016-07-01,32003.554781513238,32234.905779933815,31733.645283355894,32042.11328125,273142.0
2016-07-04,32080.67298578199,32543.374999999996,32042.114484597154,32543.375,186085.0
2016-07-05,32273.466431103694,32389.141938025212,31926.439910339137,32119.232421875,199653.0
2016-07-06,32196.35020483994,32234.908708079267,31463.738643292683,31617.97265625,240530.0
2016-07-07,31540.8515625,31926.436544926648,31502.293064257334,31540.8515625,201780.0
2016-07-08,31579.411452720906,31849.32095231681,31078.150953471366,31309.501953125,340362.0
2016-07-11,31078.150421327085,32003.55440409613,31039.59192204504,31887.87890625,288683.0
2016-07-12,31695.085266487727,31887.87775594325,31309.500287576688,31425.17578125,232312.0
2016-07-13,31463.73300638686,31733.642480706356,31193.823532067363,31695.083984375,360880.0
2016-07-14,31887.88299155609,32080.67551266586,31540.856453558503,31965.0,231543.0
2016-07-15,32119.232604322602,32350.58361947979,31810.76458411302,32196.349609375,369497.0
2016-07-18,32080.67149758454,32196.346995772947,31810.762001811592,31926.4375,170652.0
2016-07-19,32273.461528421172,32273.461528421172,31502.29159942664,31733.642578125,475782.0
2016-07-20,31772.202262269937,31772.202262269937,31309.500287576688,31425.17578125,418559.0
2016-07-21,31425.179596322174,31540.8551040387,31348.062591177826,31386.62109375,335523.0
2016-07-22,31386.622420035626,31386.622420035626,31116.712890625,31116.712890625,291170.0
2016-07-25,31270.94216937576,31579.41015625,31193.8251726572,31579.41015625,222009.0
