current_assets,prev_current_assets,cash,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_investments,short_term_debt,roe,debt_ratio,opm,year,accounts_receivable,prev_accounts_receivable
1524614486812,1070178401185,564017008354,281400053767,216595363247,219223061205,2409244539695,1170276823296,872581020302,70000000000,1440803950676,91903119361,968440589019,1545983879623,1128924550887,1310510602044,985156652844,235473277579,143767898043,149711295969,98986640161,85761981610,44781257882,82171539441,72896109675,408620564116,-133425032668,7090477406,117608570000,,,,2019,,
1683884267079,1524614486812,539872668521,363887889352,217504642898,216595363247,2695070123421,1359777605909,1170276823296,39998224530,1662387743462,157017711777,1032682379959,1642854571594,1545983879623,1395324672962,1310510602044,247529898632,235473277579,154666488461,149711295969,92863410171,85761981610,79075347711,93580544300,174791239735,-99618837775,76406321621,388466260000,,,,2020,,
2676109373359,1683884267079,1636831207731,406045060278,256905955241,217504642898,3894302649982,1363163303302,1359777605909,29986117906,1654541163154,224730049623,2239761486828,2089503039125,1642854571594,1805881532187,1395324672962,283621506938,247529898632,171571794716,154666488461,112049712222,92863410171,128054189764,97878482869,316513819517,-267966373060,25500000000,203000000000,,,,2021,,
2326839782700,2676109373359,1228217655059,372962715500,274368028618,256905955241,3945627700263,1618535589452,1363163303302,80000000000,1926675685540,116925413473,2018952014723,2188002345349,2089503039125,1934688906037,1805881532187,253313439312,283621506938,229291238190,171571794716,24022201122,112049712222,-57019441190,-80760193717,268585088688,-679409106752,19523647678,278362881767,,,,2022,,
1890139661377,2326839782700,476088816048,501085247270,347646334685,274368028618,4483210824746,1951414761805,1618535589452,162334768328,4483210824746,212472263052,2154126164004,2453079541922,2187980199396,2148770403163,1932559801721,304309138759,255420397675,211438417645,216332531623,92870721114,39087866052,57394919414,343083288939,83363237049,-863685641763,12497668687,794564970072,,,,2023,202103095305.0,208560923172.0
2286147317733,1890139661377,199842738640,610096270571,569952770732,347646334685,5724010115718,2677051475212,1951414761805,79955187062,5724010115718,589291868217,2416416895456,2803686058274,2452494865652,2387893541859,2148350487679,415792516415,304144377973,196447218733,181569236969,219345297682,122575141004,104258545307,445378843124,132623693858,-442015641879,53280414163,1507742604791,,,,2024,309758809799.0,202103095305.0
2928529633577,2286147317733,325483658125,810743032914,822739444404,635906064312,10327265554498,3334859793337,2677051475212,401210396207,10327265554498,708708933966,5000999101579,3664150568020,2803686058274,3272418268336,2387893541859,391732299684,415792516415,271833574329,196447218733,119898725355,219345297682,-85737754715,209145275418,78736816771,-1170444452151,99808483777,2442754616438,,,,2025,450887458943.0,309758809799.0
