year,quarter,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum,pead_updated_at
2020,Q4,92863410171,85761981610,1642854571594,1545983879623,92863410171,1642854571594,0.0627,0.0828,0.0,0.1421,1.0,
2021,Q4,112049712222,92863410171,2089503039125,1642854571594,112049712222,2089503039125,0.2719,0.2066,0.0,0.2924,1.0,
2022,Q4,24022201122,112049712222,2188002345349,2089503039125,24022201122,2188002345349,0.0471,-0.7856,0.0,-0.6111,-1.0,
2023,Q4,92870721114,24022201122,2453079541922,2188002345349,92870721114,2453079541922,0.1212,2.866,0.0,0.8515,1.0,
2024,Q1,-1385487580.0,0,544363756675.0,0.0,-1385487580.0,544363756675.0,0,-1385487580.0,0.0,0.0,0.0,
2024,Q2,4519097.0,0,687318651559.0,0.0,4519097.0,687318651559.0,0,4519097.0,0.0,0.0,0.0,
2024,Q3,-471789768.0,0,639172022980.0,0.0,-471789768.0,639172022980.0,0,-471789768.0,0.0,0.0,0.0,
2024,Q4,219345297682,92870721114,2803686058274,2453079541922,219345297682,2803686058274,0.1429,1.3618,0.0,0.7314,1.0,
2025,Q1,7536906022.0,0,690100705524.0,0.0,7536906022.0,690100705524.0,0,7536906022.0,0.0,0.0,0.0,
2025,Q2,-439401050.0,0,768190548880.0,0.0,-439401050.0,768190548880.0,0,-439401050.0,0.0,0.0,0.0,
2025,Q3,-138451168.0,0,807736584417.0,0.0,-138451168.0,807736584417.0,0,-138451168.0,0.0,0.0,0.0,
2025,Q4,8425214803.0,219345297682.0,3664150568020.0,2803686058274.0,8425214803.0,3664150568020.0,-0.9616,-0.9616,0.0,-0.6579,-1.0,2026-05-13T17:08:14.267987
