current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,long_term_debt,current_liabilities,prev_current_liabilities,retained_earnings,total_equity,sga_expense,prev_sga,revenue,prev_revenue,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,roe,debt_ratio,opm,year,total_assets,total_liabilities,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,operating_income,prev_operating_income,short_term_investments,short_term_debt
847377341135,945244336157,166452634619,323878877725.0,302392987905.0,252504693430,1393446785690,1402236749814,99964948178,24540689660,26088523641,1774842148381,3991836441083,684262675936,682480445567,19037303138.0,32459097194.0,96193540860,75239401213,113575203621,94294405538,21817527168.0,-59064991650,,,,2016,,,,,,,,,,
3126610863649,15476939685202,723571865522,0.0,82154.0,477699230271,2389805333951,2589090517881,1318604565029,3786893004751,16339684515914,4907248427772,7792536690730,2417592097826,1877330932112,21320496.0,56148970.0,-546243559495,-505308590011,654139386542,3099393100,,847785562036,,,,2019,15605750443735.0,7813213753005.0,6263714452304.0,5295423122234.0,2592446977797.0,1975748909681.0,174854879971.0,98417977569.0,296441085757.0,4248013823141.0
4902602526063,3126610863649,899511659969,0.0,0.0,666767838178,2952248609035,2389805333951,1685820841710,4745451821342,3786893004751,4766283233904,7831106608529,2335796406612,2417592097826,430987292319.0,214200234122.0,-290060561305,-238878978680,382566304165,7840242967,,-819838081347,,,,2020,16680023234382.0,8848916625853.0,6594603860953.0,6263714452304.0,2492045368610.0,2592446977797.0,156248961998.0,174854879971.0,1682865734772.0,4731962187839.0
4772463498357,4902602526063,1394468364958,,,990912975502,5651358628678,2952248609035,2073973367247,4567004950167,4745451821342,5080814953784,9629296923407,2411417272099,2335796406612,592106736584.0,430987292319.0,69499112210,150433761012,600465199924,1387009539,,72028705716,,,,2021,19921883103681.0,10292586180274.0,7297045668181.0,6594603860953.0,2627818346012.0,2492045368610.0,216401073913.0,156248961998.0,2160916791178.0,2077570285193.0
5621713796062,4772463498357,1403904622235,,,1275635909605,5868771676366,5651358628678,3210916427590,6169727343827,4567004950167,5215185137551,9766258734737,3660376059451,2411417272099,103566293538.0,592106736584.0,499860555981,336571001704,904140865036,3112351828,,-1584260341244,,,,2022,22175416666050.0,12409157931313.0,9961645646809.0,7297045668181.0,4150206662366.0,2627818346012.0,489830602915.0,216401073913.0,2175130070969.0,4700576212541.0
5854119649407,5621713796062,1579854555114,1555241636165.0,1322920450603.0,1296611415511,6736288618116,5868771676366,1417185670108,6727891073451,6169727343827,4976441921291,9672841607501,3949626931330,3660376059451,,,210256331145,163660188554,1237508311627,1896771939,,-605864641879,,,,2023,23160430746458.0,23160430746458.0,10716459680168.0,9961645646809.0,4443316215471.0,4150206662366.0,493689284141.0,489830602915.0,2106151335161.0,4557468338299.0
5016589922670,5854119649407,1254824478888,1318784044271.0,1555241636165.0,1429094324979,7610763889601,6736288618116,3393320040527,6577895941552,6727891073451,3787124026370,9199764345455,4238761295884,3949626931330,,,59455255447,-946077909988,1052917063415,2832273174,10438500000.0,-803427911948,,,,2024,22660277693897.0,22660277693897.0,11177745570774.0,10716459680168.0,4579230056405.0,4443316215471.0,340468760521.0,493689284141.0,2213067221423.0,6152960019792.0
5453937699835,5016589922670,1391291862106,,,1450942786396,8348886080784,7610763889601,4939982254445,6742334830996,6577895941552,3072175794644,9421639933465,4191302316343,4238761295884,328963006269.0,151794563805.0,120819673345,-595003287583,1156131183818,1863162798,,-1432819811093,,,,2025,23071072297336.0,13649432363871.0,11108884939160.0,11177745570774.0,4430741650311.0,4579230056405.0,239439333968.0,340468760521.0,1067641137937.0,3773429305995.0
