current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,revenue,prev_revenue,total_equity,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,roe,debt_ratio,opm,year,long_term_debt
,,39077073089,,,,,700291402115,,,201216889493,502096768135,431722625741.0,448634709421.0,499074512622,,,,,,,,,,20160083357,16825529592,15947447408,,-33916011739,,,,2020,
,,30204436969,,,,,705509290986,,,192058364105,516484265624,433126639421.0,431722625741.0,513450926881,,,,,,,,,,16452462020,-15763329175,16273413049,,18958206231,,,,2021,
,,45324253241,,,,,816503301678,,,273089488378,546462131881,505290773062.0,433126639421.0,543413813300,,,,,,,,,,17953974302,6758107760,15313253450,,18687610705,,,,2022,
,,52159068352,,,,,855008772803,,,855008772803,549952768013,109590067172.0,101722238517.0,547308411738,,,,,,,,,,32654447903,40817030278,0,,-22009383866,,,,2023,
,,46521428441,,,,,946846882988,,,946846882988,580106143225,,,577473652879,,,,,,,54806059056.0,28562398334.0,,58512128400,48950324037,0,,-34371520099,,,,2024,
,,27327763423,,,,,885545457188,,,260579274324,627586707562,,,624966182864,,,,,,,35452646024.0,70937011354.0,,85367742275,29316127878,15874302198,,-9450341672,,,,2025,
