current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,roe,debt_ratio,opm,year
1980011042219,1466575467827,206120264408,59463862561.0,844262690074.0,435461698858.0,393550532997,1120030990319,1941075041584,4070915648349,1595090733887,773629687514,349874090457,2359619397619,1114058494783,1711296250730,5254738368500,4078985547656,4785574532481,3746641239627,469163836019,332344308029,-288375736276,-233181266757,180788099743,99163041272,216376914415,170419032290,-107692809174,199115059.0,39191300720.0,-116845345055,,,,2016
2106455293325,1980011042219,263474452292,85666569541.0,-131443688264.0,-336812836610.0,548411278016,1178782273072,1120030990319,4351747561273,1521920212550,1595090733887,525805527150,2568305687438,1191920611837,1783441873835,6689683933938,5271549265089,6274170675888,4797771802664,415513258050,473777462425,290074250774,276178466093,125439007276,197598996332,215116248707,149899106684,-108168160059,232650000.0,39132659149.0,97721856430,,,,2017
1609767813662,2106455293325,80287600328,65100000000.0,25136055.0,0.0,305724973244,985468452876,1178782273072,3755607241785,1500614810053,1521920212550,349276661322,2112825033442,1221489353583,1642782208343,6859163776452,6358897429318,6557948183797,6026471582271,301215592655,332425847047,198216540095,234705862857,102999052560,97719984190,23520233449,-16440264161,-90589662308,120080850.0,50056922328.0,-302858314774,,,,2018
1713781802069,1609767813662,135728393431,,2530461984.0,0.0,377511627691,927697328242,985468452876,4082417323183,1570402383596,1500614810053,319137586729,2421595551264,1456708770590,1660821771919,4931073628033,6859163776452,4521732780915,6557948183797,409340847118,301215592655,219762495196,198216540095,189578351922,102999052560,90509572443,99427163104,307699873378,,,-44771115153,,,,2019
2040498453181,1713781802069,122057242290,-518875003400.0,1820331268.0,2530461984.0,324014964088,939707049943,927697328242,4498920423918,1271573292835,1570402383596,817562172131,2600204914605,1690909604629,1898715509313,4412318983220,4931073628033,3963468465865,4521732780915,448850517355,409340847118,258663661620,219762495196,190186855735,189578351922,407757637947,265350074918,228478576964,,,-490410485876,,,,2020
2405831848923,2040498453181,162690548829,18340184060.0,2147733327.0,1820331268.0,464153075729,1059232600785,939707049943,5121535471833,1441957908268,1271573292835,1066657697161,3004172079944,1901132410955,2117363391889,6494513185952,4412318983220,6125370606275,3963468465865,369142579677,448850517355,263680215159,258663661620,105462364518,190186855735,329607678723,249265884920,-389011631664,,,-59464217208,,,,2021
2581339370870,2405831848923,404791629643,375175379803.0,2444389971.0,2147733327.0,461655016545,1620792551107,1059232600785,5831776891571,1742517071826,1441957908268,149920649456,3490881745324,2110153789894,2340895146247,8066169118262,6494513185952,7388052567355,6125370606275,678116550907,369142579677,287645560525,263680215159,390470990382,105462364518,304743977034,257077747972,140057194054,,,-56707813442,,,,2022
2485113138789,2581339370870,493752033069,60963299323.0,,,447664060528,2102401625739,1620792551107,6081811411173,1460923784096,1742517071826,169877966499,6081811411173,2353048759597,2588305767501,6992257390856,8066169118262,6376109851782,7388052567355,616147539074,678116550907,312552070344,287645560525,303595468730,390470990382,121681184701,316290608462,617223352654,,,-520234374920,,,,2023
2608910830555,2485113138789,584522915235,95767968188.0,,,495819714192,2532572255206,2102401625739,7539621970135,2021018622987,1460923784096,459819838553,4801285742388,2466313024493,2738336227747,7095902060317,6992257390856,6488109291791,6376109851782,607792768526,616147539074,320616193367,312552070344,287176575159,303595468730,62136730805,177768044603,373331313851,,,-162995981067,,,,2024
2512989419404,2465127691774,625880321992,108702394725.0,,,501730533450,2682845998855,2532572255206,8031885593897,1894992246082,2021018622987,369904242806,4887336598401,2659559755427,3144548995496,7676318981997,7095902060317,6888994592855,6488109291791,787324389142,607792768526,344492977213,320616193367,442831411929,287176575159,80411287389,233818515354,672579940927,,,-547214328280,,,,2025
