current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
573324000000,626182000000,245090000000,93201000000,115140000000,47794000000,3678016000000,3640361000000,4330646000000,523904000000,499045000000,1764786000000,-209770000000,2565860000000,1873986000000,1819313000000,1650381000000,1531706000000,223605000000,287607000000,55704000000,58237000000,167901000000,229370000000,99137000000,97089000000,250956000000,-92398000000,,,,2016
613206000000,573324000000,207648000000,100813000000,93201000000,50255000000,3223616000000,3678016000000,3894362000000,545450000000,523904000000,1484610000000,-66058000000,2409752000000,2336240000000,1873986000000,2072077000000,1650381000000,264163000000,223605000000,69140000000,55704000000,195023000000,167901000000,143174000000,141275000000,261613000000,-117167000000,,,,2017
692157000000,613206000000,208714000000,142934000000,100813000000,61050000000,3362753000000,3223616000000,4119496000000,670505000000,545450000000,1459059000000,85208000000,2660437000000,2668353000000,2336240000000,2390275000000,2072077000000,278078000000,264163000000,74142000000,69140000000,203936000000,195023000000,148994000000,148645000000,268073000000,-126552000000,,,,2018
679531000000,692157000000,255314000000,131424000000,142934000000,65322000000,3736999000000,3362753000000,4454177000000,709108000000,670505000000,1554646000000,235974000000,2899531000000,2467891000000,2668353000000,2180119000000,2390275000000,287772000000,278078000000,77753000000,74142000000,210019000000,203936000000,148265000000,147727000000,404778000000,-212997000000,,,,2019
662523000000,679531000000,237560000000,149146000000,131424000000,57221000000,3873047000000,3736999000000,4659327000000,604301000000,709108000000,1852675000000,328649000000,2806652000000,2497159000000,2467891000000,2193226000000,2180119000000,303933000000,287772000000,78721000000,77753000000,225212000000,210019000000,91956000000,90722000000,470485000000,-336872000000,,,,2020
1358712000000,662523000000,521592000000,249207000000,149146000000,108223000000,4963289000000,3873047000000,6488779000000,1149410000000,604301000000,2891942000000,851314000000,3596837000000,4616107000000,2497159000000,3950376000000,2193226000000,665731000000,303933000000,92785000000,78721000000,572946000000,225212000000,550358000000,549305000000,767687000000,-351168000000,,,,2021
1834200000000,1358712000000,744629000000,268338000000,249207000000,129057000000,5444060000000,4963289000000,7548942000000,1226756000000,1149410000000,3056338000000,1474700000000,4492604000000,6420312000000,4616107000000,5520365000000,3950376000000,899947000000,665731000000,110329000000,92785000000,789618000000,572946000000,687967000000,677081000000,1410763000000,-577439000000,,,,2022
1757323000000,1834200000000,952781000000,224838000000,268338000000,119169000000,5840572000000,5444060000000,7853946000000,1294029000000,1226756000000,7853946000000,1638233000000,4713351000000,4360982000000,6420312000000,3861154000000,5520365000000,499828000000,899947000000,113974000000,110329000000,385854000000,789618000000,3448000000,245041000000,750792000000,-84447000000,,,,2023
2021806000000,1757323000000,865844000000,288079000000,224838000000,122133000000,7862230000000,5840572000000,10271506000000,1276861000000,1294029000000,10271506000000,1859636000000,5653383000000,5161218000000,4360982000000,4578484000000,3861154000000,582734000000,499828000000,111554000000,113974000000,471180000000,385854000000,13949000000,268143000000,676168000000,-660420000000,,,,2024
1854075000000,2021806000000,839667000000,259580000000,288079000000,115123000000,8652710000000,7862230000000,10853668000000,1366156000000,1276861000000,10853668000000,2096794000000,5723482000000,5432888000000,5161218000000,4819614000000,4578484000000,613274000000,582734000000,121326000000,111554000000,491948000000,471180000000,16797000000,301407000000,702652000000,-263202000000,,,,2025
