current_assets,prev_current_assets,cash,long_term_debt,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,interest_expense,capex,roe,debt_ratio,opm,year,accounts_receivable,prev_accounts_receivable,short_term_investments
,,533674000000,,,,,4398098000000,,,,3446776000000,-1512758000000.0,951322000000,4584810000000,5645057000000,,,,,,,,,,-458201000000,-638958000000,,1473908000000,,,,2016,,,
,,676365000000,,,,,3602418000000,,,,2705498000000,,896920000000,5028016000000,4584810000000,,,,,,,,,,-1190740000000,-275381000000,,-227965000000,,,,2017,,,
,,562901000000,,,,,4121440000000,,,,3081769000000,-3589285000000.0,1039671000000,5222124000000,5028016000000,,,,,,,,,,-790563000000,-416902000000,,-672787000000,,,,2018,,,
,,645092000000,,,,,7160187000000,,,,6069878000000,-4477062000000.0,1090309000000,5513089000000,5222124000000,,,,,,,,,,-589837000000,399331000000,,-877197000000,,,,2019,,,
,,1140700000000,,,,,9373360000000,,,,7684812000000,-4443893000000.0,1688548000000,6413270000000,5513089000000,,,,,,,,,,123966000000,1408546000000,,-2034150000000,,,,2020,,,
,,1724952000000,,,,,17876100000000,,,,7517806000000,780591000000.0,10358294000000,13794148000000,6413270000000,,,,,,,,,,5337151000000,7505033000000,,-6314410000000,,,,2021,,,
,,4980161000000,,,,,25973455000000,,,,5285543000000,10543289000000.0,20687912000000,18582770000000,13794148000000,,,,,,,,,,10085439000000,11318868000000,,-4817701000000,,,,2022,,,-1753471000000.0
,,3249802000000,,,,,25713363000000,,,,4272550000000,10889054000000.0,21440813000000,8400969000000,18582770000000,,,,,,,,,,968692000000,1979706000000,,-1487088000000,,,,2023,,,
,,1471825000000,,,,,33848562000000,,,,5993018000000,14114764000000.0,27855544000000,11700224000000,8400969000000,,,,,,,,,,3782129000000,4874617000000,,-6232183000000,,,,2024,,,
,,1760767000000,,,,,33563133000000,,,,6991856000000,13280054000000.0,26571277000000,10891443000000,11700224000000,,,,,,,,,,1878732000000,3305131000000,,1070549000000,,,,2025,,,
