total_assets,current_assets,prev_current_assets,cash,inventory,ppe_net,prev_ppe_net,total_equity,retained_earnings,current_liabilities,prev_current_liabilities,total_liabilities,operating_income,prev_operating_income,revenue,prev_revenue,sga_expense,prev_sga,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,income_tax,net_income,short_term_debt,capex,depreciation,cash_from_operations,roe,debt_ratio,opm,year,long_term_debt
254269530607,163704383661,66766809090,78467105878,1623534585,76949529130,74290765307,208157112796,73939678717,43728878053,23890964406,46112417811,12392667090,13086945968,606130896,40694957,4415311922,6918895516,113471144711,50773408906,16807979012,20005841484,3651319558,13203271844,2055037273,18546564369,0,-6621031336,,,,2024,
739037054373,463477613491,163704383661,73563614656,1068680411,140180878010,76949529130,628072916399,76572001795,64510889147,43728878053,110964137974,7009301321,12392667090,244205074557,130279123723,9117298026,4415311922,228078475210,113471144711,16126599347,16807979012,2683921609,8356327494,9948074875,-471604113929,0,19934400037,,,,2025,34931968525.0
