current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,long_term_debt,capex,short_term_debt,roe,debt_ratio,opm,year
33019541683,28890584797,4618577779,3464696133,17407314990,15525430005,6856670412,21483129979,19833446676,55834143873,22165407856,28155846326,23440639577,5621264650,32393504296,61247953344,43940060310,50560184727,34482994763,10687768617,9457065547,8374221719,4832262559,2313546898,4624802988,510837122,-457379020,-2325719016,1269085255,365260242,0,1693136778,13590704100,,,,2022
31141529831,33019541683,9979131029,0,8961293216,17407314990,11093275226,23498747558,21483129979,56975793247,24877740443,22165407856,56975793247,4204675895,30890434691,33338955327,61247953344,28124854715,50560184727,5214100612,10687768617,5899807558,8374221719,-685706946,2313546898,206391774,-1416588755,7883989852,827083469,430406144,0,-859871884,6000000000,,,,2023
33588382260,31141529831,11043034044,0,12471648236,8961293216,7750390172,40967874264,23498747558,79613977957,22129721055,24877740443,79613977957,10172850989,40982352292,59212420040,33338955327,44653200507,28124854715,14559219533,5214100612,8521562447,5899807558,6037657086,-685706946,1095342197,5968175094,4486848260,176458416,324173860,15500000000,-21126526792,2000000000,,,,2024
78686123225,33588382260,49118598846,0,13286440648,12471648236,12254601433,86103979783,40967874264,172536488872,44393446872,22129721055,172536488872,7635671481,128084777866,37859245040,59212420040,30219619004,44653200507,7639626036,14559219533,10145974140,8521562447,-2506348104,6037657086,-1170832231,-2537179508,-9748725998,211604589,34744730,0,-40769921726,3560040000,,,,2025
