current_assets,prev_current_assets,cash,short_term_investments,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,long_term_debt,accounts_receivable,prev_accounts_receivable,capex,roe,debt_ratio,opm,year,short_term_debt
264054334356,185567942093,26904682970,3975300000.0,86075137463,184945249423,145845456205,492928107512,196167570894,114630189296,205241251239,141203275987,287686856273,667469194150,535846082250,513950323429,409570653961,153518870721,126275428289,80088913995,65555868964,73429956726,60719559325,71282631044,53183217565,38213822341,122138356.0,1000749000.0,0,-27856610327,-3421935002,-21266699089,,,,2016,
365921200622,264054334356,14278103046,68362907687.0,105713906041,236207003634,184945249423,668548553526,211960057752,196167570894,335912010840,180655263136,332636542686,171536832965,132612349591,643808077586,513950323429,177807892608,153518870721,110831833828,80088913995,66976058780,73429956726,62007990601,48601112399,5386484249,730299679.0,3973038503.0,0,160534670949,128363686254,-156190810910,,,,2017,
555180681974,365921200622,76509294326,81264518085.0,176829819923,421270922888,236207003634,2186418082309,517320215188,211960057752,1376591254422,213242364232,809826827887,203490800231,171536832965,1000870347714,643808077586,356994917471,177807892608,266641031505,110101534149,89967395015,66976058780,55388100928,36805372483,62759621623,386490951.0,33412381904.0,818644345500,201977501557,160534670949,-1293190582280,,,,2018,288315096929.0
646020460036,555180681974,118613914875,17998128799.0,160663174700,466944474111,421270922888,2400309459227,707420208614,517320215188,1552436552292,232345704611,847872906935,221856699576,203490800231,1108456555974,1000870347714,432264072983,356994917471,313645290722,266641031505,117810046389,89967395015,63410734264,33637990905,164842538883,808735872.0,53413022369.0,738988912517,225485925337,201977501557,-150679482311,,,,2019,409507695449.0
775228937924,646020460036,377170647411,6840000000.0,148592292344,472695996613,466944474111,2489599417108,686826033067,707420208614,1490357399614,382403832547,999242017494,366159748572,221856699576,895784180622,982756834914,426297137034,396129522652,304594637970,295474641747,121679126846,99832225451,221636490919,144688975190,121463641010,23372218.0,37723273535.0,717643862854,218808865692,225485925337,245739981649,,,,2020,351030331346.0
882876429595,775228937924,191219363749,141750000000.0,210170703353,445522844380,472695996613,2606037352397,888573082391,686826033067,1246477583481,402804200042,1359559768916,385770731537,366159748572,1158199757815,895784180622,428132952433,426297137034,342472066611,304594637970,84267552991,121679126846,66542684728,43534832905,-3122843666,1393332831.0,30607043185.0,274588651667,227713086584,218808865692,-283006749641,,,,2021,578480359388.0
816296191864,882876429595,220073383228,70634000000.0,239404824504,608846424807,445522844380,2933309479342,868139417222,888573082391,1463836379752,383679742404,1469473099590,361911866084,385770731537,1396896251544,1158199757815,468835271491,428132952433,392241779624,342472066611,73280441382,84267552991,16973794860,-4101004683,90811567586,3313050485.0,32694822474.0,99932951792,265733878503,227713086584,-145246117802,,,,2022,
898363312780,816296191864,170839479489,95609100000.0,280914965122,660377852875,608846424807,3009429377714,1283697060535,868139417222,1590839241152,367618540069,1418590136562,344190000205,361911866084,1577549940392,1396896251544,578125987030,468835271491,441982647038,395554830109,136143339992,73280441382,9199171838,25138828951,112241475356,1461770944.0,45048009959.0,239870176037,322554550134,260434138579,-155684341344,,,,2023,
858706005147,898363312780,141871214022,,327667249099,811081499771,660377852875,3126693019808,1215031627082,1283697060535,3126693019808,487914233535,1505731966547,18890361809,5501967450,1753138458114,1577549940392,698925522349,578125987030,505075098001,441982647038,193850424348,136143339992,14448917148,125324615188,215382940702,,,59986856265,284223381552,318088861866,-205249104547,,,,2024,941273332182.0
1009648479412,858706005147,225316644282,,324796974755,901822244011,811081499771,3457768462781,1360076779082,1215031627082,3457768462781,592665590999,1667349364857,10471894257,18890361809,1930972042083,1753138458114,791447127242,698925522349,551852386794,505075098001,239594740448,193850424348,43503164868,168220449431,291432572833,,,104912793825,333164710162,284223381552,-247683777115,,,,2025,744082072506.0
