current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,depreciation,roe,debt_ratio,opm,year
288834927371,543296342035,71191691201,67030521427.0,156576086393.0,106819314041,427532058673,679460680150,849906703009,1423080113258,548834237595,116607446703,672999415840,1461297437652,-1039384053566,-611390734643,416489347427,1057213056108,528517913436,975613758034,-112028566009,81599298074,171189545404,73800253122,-283218111413,7799044952,-697516249958,-718303975537,-6869907013,24973701221,0.0,,,,2016
222702010777,288834927371,32061328158,48451650595.0,67030521427.0,69475756758,388409136226,427532058673,744314393355,316223525492,1423080113258,19251000000,0,598760615526,-303056766131,145553777829,252436193526,416489347427,215929915919,528517913436,36506277607,-112028566009,6281666896,171189545404,30224610711,-283218111413,735486074336,735481672640,7415608004,-38904893593,0.0,,,,2017
207729407935,222702010777,77483391708,24892015279.0,48451650595.0,74766621130,230764529450,388409136226,567197922629,294786020158,316223525492,0,2329522430,413326429433,-419257808065,153871493196,214807698669,185241874007,214280567943,170734990856,527130726,14506883151,15028566417,14060921326,-14501435691,445961825,-143836075184,-104718213039,11573442685,69197893441,,,,,2018
174465473627,207729407935,24997583211,43628606307.0,24892015279.0,79063064998,214685373054,230764529450,447548959282,198542366646,282226967284,64000000000,1245900780,317544514598,-442953405042,130004444684,253982739416,214807698669,240633884366,214380739132,13348855050,426959537,24044403621,15028566417,-10695548571,-14601606880,-35895796697,-35895796697,-13371473660,-6030885868,,,,,2019
152537363125,174465473627,58390001507,23351383254.0,43628606307.0,56957772046,304824509097,214685373054,467363345753,258518954795,198542366646,67856729985,4127957124,293443429841,-5626379257,173919915912,247959833753,253982739416,220242415229,240633884366,27717418524,13348855050,25398003568,24044403621,2319414956,-10695548571,-10196899145,1103386004,15239525401,22534365619,,,,,2020
182389805124,152537363125,61113803514,19650320777.0,23351383254.0,52868824483,239141451494,304824509097,430406730156,244851204057,258518954795,78390036843,1833197301,276445468016,-8034707869,153961262140,163850811869,247959833753,150221497739,220242415229,13629314130,27717418524,24526390397,25398003568,-10897076267,2319414956,-5153474697,-7828437540,14917623541,23895077014,,,,,2021
165093772307,182389805124,29656422201,35584067995.0,19650320777.0,70980972615,241806460968,239141451494,416290993852,184789558770,244851204057,80976875305,25000000,224154879957,24172691919,192136113895,179328152621,137403818447,150274053371,121691317112,29054099250,15712501335,17711956675,23744758414,11342142575,-8032257079,15666817050,14143936944,-20431159379,48086370637,,,,,2022
196470091901,165093772307,33895601428,39245008959.0,38392420183.0,89074959293,146404061270,241806460968,454013908212,206642830744,184789558770,85375575182,15600000000,228637992918,55394623558,225375915294,7772607402,9761111681,202155581078,148992283567,42865209746,28468349442,24940210015,17347714154,17924999731,11120635288,-16641960102,31641504580,36374056448,-13486354365,,,,,2023
293886545654,196470091901,59756968580,28856028653.0,39245008959.0,86701382809,151264238260,146404061270,494962962578,180908739583,206642830744,2536925059,0,185588379579,130299515345,309374582999,4447283449,7771627815,246193519532,202009419918,69600469181,42358958832,36406813523,23979750332,33193655658,18379208500,-48214775785,75775091634,101436571997,-24123629759,,,,,2024
516174832502,293886545654,94276230277,,,116969828556,234026082265,151264238260,814697175815,320140948412,180908739583,0,0,325784964511,295748532021,488912211304,78880726270,4447283449,299759016846,246193519532,102637205058,69600469181,26725610266,36406813523,75911594792,33193655658,-4610315780,165101642055,180601821406,-145013098457,,,,,2025
