Price,Close
Ticker,JPY=X
Date,
2026-03-02,156.63299560546875
2026-03-03,157.2570037841797
2026-03-04,157.7729949951172
2026-03-05,156.98300170898438
2026-03-06,157.53399658203125
2026-03-09,158.427001953125
2026-03-10,157.84800720214844
2026-03-11,158.11399841308594
2026-03-12,159.0749969482422
2026-03-13,159.20599365234375
2026-03-16,159.5679931640625
2026-03-17,159.10499572753906
2026-03-18,158.88900756835938
2026-03-19,159.7949981689453
2026-03-20,157.9239959716797
2026-03-23,159.23399353027344
2026-03-24,158.47900390625
2026-03-25,158.71800231933594
2026-03-26,159.38400268554688
2026-03-27,159.70399475097656
2026-03-30,160.23399353027344
2026-03-31,159.84100341796875
2026-04-01,158.57899475097656
2026-04-02,158.68800354003906
2026-04-03,159.49099731445312
2026-04-06,159.77999877929688
2026-04-07,159.68299865722656
2026-04-08,158.71600341796875
2026-04-09,158.64199829101562
2026-04-10,159.11199951171875
2026-04-13,159.67999267578125
2026-04-14,159.21400451660156
2026-04-15,158.79200744628906
2026-04-16,158.8090057373047
2026-04-17,159.19500732421875
2026-04-20,159.16099548339844
2026-04-21,158.843994140625
2026-04-22,159.3730010986328
2026-04-23,159.48800659179688
2026-04-24,159.7469940185547
2026-04-27,159.5760040283203
2026-04-28,159.35699462890625
2026-04-29,159.552001953125
2026-04-30,160.1840057373047
2026-05-01,156.97799682617188
2026-05-04,156.8459930419922
2026-05-05,157.19400024414062
2026-05-06,157.677001953125
2026-05-07,156.50799560546875
2026-05-08,156.82899475097656
2026-05-11,156.85800170898438
2026-05-12,157.2310028076172
2026-05-13,157.67100524902344
2026-05-14,157.8509979248047
2026-05-15,158.3820037841797
2026-05-18,158.843994140625
2026-05-19,158.86099243164062
2026-05-20,159.03500366210938
2026-05-21,158.88800048828125
2026-05-22,159.01800537109375
2026-05-24,158.78500366210938
