Price,Close
Ticker,GC=F
Date,
2026-03-16,4994.0
2026-03-17,5001.0
2026-03-18,4889.89990234375
2026-03-19,4600.7001953125
2026-03-20,4570.39990234375
2026-03-23,4404.10009765625
2026-03-24,4399.2998046875
2026-03-25,4549.7998046875
2026-03-26,4375.5
2026-03-27,4492.0
2026-03-30,4526.0
2026-03-31,4647.60009765625
2026-04-01,4783.2001953125
2026-04-02,4651.5
2026-04-06,4656.7998046875
2026-04-07,4657.10009765625
2026-04-08,4749.5
2026-04-09,4792.2001953125
2026-04-10,4761.89990234375
2026-04-13,4742.39990234375
2026-04-14,4825.0
2026-04-15,4800.0
2026-04-16,4785.39990234375
2026-04-17,4857.60009765625
2026-04-20,4806.60009765625
2026-04-21,4698.39990234375
2026-04-22,4732.5
2026-04-23,4705.10009765625
2026-04-24,4722.2998046875
2026-04-27,4675.39990234375
2026-04-28,4591.5
2026-04-29,4545.2001953125
2026-04-30,4614.7001953125
2026-05-01,4629.89990234375
2026-05-04,4519.5
2026-05-05,4555.7998046875
2026-05-06,4681.89990234375
2026-05-07,4699.7998046875
2026-05-08,4720.39990234375
2026-05-11,4718.7001953125
2026-05-12,4677.60009765625
2026-05-13,4697.7001953125
2026-05-14,4678.10009765625
2026-05-15,4555.7998046875
2026-05-18,4552.5
2026-05-19,4506.2998046875
2026-05-20,4531.2998046875
2026-05-21,4539.7998046875
2026-05-22,4523.2001953125
