Price,Close
Ticker,^DJI
Date,
2026-02-27,48977.921875
2026-03-02,48904.78125
2026-03-03,48501.26953125
2026-03-04,48739.41015625
2026-03-05,47954.73828125
2026-03-06,47501.55078125
2026-03-09,47740.80078125
2026-03-10,47706.51171875
2026-03-11,47417.26953125
2026-03-12,46677.8515625
2026-03-13,46558.46875
2026-03-16,46946.41015625
2026-03-17,46993.26171875
2026-03-18,46225.1484375
2026-03-19,46021.4296875
2026-03-20,45577.46875
2026-03-23,46208.46875
2026-03-24,46124.05859375
2026-03-25,46429.48828125
2026-03-26,45960.109375
2026-03-27,45166.640625
2026-03-30,45216.140625
2026-03-31,46341.51171875
2026-04-01,46565.73828125
2026-04-02,46504.671875
2026-04-06,46669.87890625
2026-04-07,46584.4609375
2026-04-08,47909.921875
2026-04-09,48185.80078125
2026-04-10,47916.5703125
2026-04-13,48218.25
2026-04-14,48535.98828125
2026-04-15,48463.71875
2026-04-16,48578.71875
2026-04-17,49447.4296875
2026-04-20,49442.55859375
2026-04-21,49149.37890625
2026-04-22,49490.03125
2026-04-23,49310.3203125
2026-04-24,49230.7109375
2026-04-27,49167.7890625
2026-04-28,49141.9296875
2026-04-29,48861.80859375
2026-04-30,49652.140625
2026-05-01,49499.26953125
2026-05-04,48941.8984375
2026-05-05,49298.25
2026-05-06,49910.58984375
2026-05-07,49596.96875
2026-05-08,49609.16015625
2026-05-11,49704.46875
2026-05-12,49760.55859375
2026-05-13,49693.19921875
2026-05-14,50063.4609375
2026-05-15,49526.171875
2026-05-18,49686.12109375
2026-05-19,49363.87890625
2026-05-20,50009.3515625
2026-05-21,50285.66015625
2026-05-22,50579.69921875
