Price,Close
Ticker,RTY=F
Date,
2026-03-16,2505.0
2026-03-17,2520.199951171875
2026-03-18,2479.39990234375
2026-03-19,2495.60009765625
2026-03-20,2496.39990234375
2026-03-23,2509.60009765625
2026-03-24,2522.300048828125
2026-03-25,2551.800048828125
2026-03-26,2508.199951171875
2026-03-27,2464.0
2026-03-30,2428.199951171875
2026-03-31,2512.199951171875
2026-04-01,2526.699951171875
2026-04-02,2544.0
2026-04-06,2554.800048828125
2026-04-07,2560.10009765625
2026-04-08,2635.699951171875
2026-04-09,2651.60009765625
2026-04-10,2644.39990234375
2026-04-13,2682.300048828125
2026-04-14,2718.10009765625
2026-04-15,2725.5
2026-04-16,2730.800048828125
2026-04-17,2788.89990234375
2026-04-20,2804.39990234375
2026-04-21,2775.199951171875
2026-04-22,2795.300048828125
2026-04-23,2786.199951171875
2026-04-24,2796.10009765625
2026-04-27,2799.60009765625
2026-04-28,2767.39990234375
2026-04-29,2747.800048828125
2026-04-30,2807.800048828125
2026-05-01,2819.300048828125
2026-05-04,2804.60009765625
2026-05-05,2852.89990234375
2026-05-06,2895.199951171875
2026-05-07,2848.89990234375
2026-05-08,2867.60009765625
2026-05-11,2878.89990234375
2026-05-12,2850.39990234375
2026-05-13,2852.300048828125
2026-05-14,2869.39990234375
2026-05-15,2799.60009765625
2026-05-18,2782.699951171875
2026-05-19,2753.199951171875
2026-05-20,2821.0
2026-05-21,2847.300048828125
2026-05-22,2872.10009765625
