year,quarter,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum
2020,Q4,135863991000,292244731000,2273151865000,2198949660000,135863991000,2273151865000,0.0337,-0.5351,0.0,-0.517,-1.0
2021,Q4,264365188000,135863991000,3572433182000,2273151865000,264365188000,3572433182000,0.5716,0.9458,0.0,0.6542,1.0
2022,Q4,320928734000,264365188000,5014123629000,3572433182000,320928734000,5014123629000,0.4036,0.214,0.0,0.2997,1.0
2023,Q4,303469763000,320928734000,163065691000,5014123629000,303469763000,163065691000,-0.9675,-0.0544,0.0,-0.0981,-1.0
2024,Q1,68864398000.0,0,951730723000.0,0.0,68864398000.0,951730723000.0,0,68864398000.0,0.0,0.0,0.0
2024,Q2,42838068000.0,0,1023813115000.0,0.0,42838068000.0,1023813115000.0,0,42838068000.0,0.0,0.0,0.0
2024,Q3,64590613000.0,0,1036833981000.0,0.0,64590613000.0,1036833981000.0,0,64590613000.0,0.0,0.0,0.0
2024,Q4,284042489000,303469763000,112028210000,163065691000,284042489000,112028210000,-0.313,-0.064,0.0,-0.1135,-1.0
2025,Q1,112462644000.0,0,1098095716000.0,0.0,112462644000.0,1098095716000.0,0,112462644000.0,0.0,0.0,0.0
2025,Q2,86873102000.0,0,1080285956000.0,0.0,86873102000.0,1080285956000.0,0,86873102000.0,0.0,0.0,0.0
2025,Q3,72695325000.0,0,1010252835000.0,0.0,72695325000.0,1010252835000.0,0,72695325000.0,0.0,0.0,0.0
2025,Q4,377947571000,284042489000,105709691000,112028210000,377947571000,105709691000,-0.0564,0.3306,0.0,0.398,1.0
