current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
1150018962000,910629291000,69959564000,179809112000,596552628000.0,560127970000.0,59558663000,4576786964000,4396803778000,6587262226000,1325546418000,1086858631000,180000000000,99917013000,2276668481000,3034979730000,4310593745000,1831801786000,1656960042000,315228845000,263315428000,1516572941000,1393644614000,1133406505000,1030818223000,383166436000,362826391000,435868832000,321112180000,442017130000,-524367372000,,,,2016
1002797450000,1150018962000,86390664000,104406000000,611560489000.0,596552628000.0,60490573000,4810613187000,4576786964000,6777281518000,1745054925000,1325546418000,40000000000,179917862000,2159552233000,3287136986000,4617729285000,1848140316000,1831801786000,311901873000,315228845000,1536238443000,1516572941000,1142569755000,1133406505000,393668688000,383166436000,445597576000,302249519000,437234382000,-145748317000,,,,2017
1258796495000,1002797450000,241013325000,154106000000,617165514000.0,611560489000.0,114582401000,4893681778000,4810613187000,6988562089000,1293202919000,1745054925000,0,0,2159469660000,3500877168000,4829092429000,1862205782000,1848140316000,350466053000,311901873000,1511739729000,1536238443000,1155080675000,1142569755000,356659054000,393668688000,398285395000,287418964000,435324558000,-134130479000,,,,2018
1365316449000,1258796495000,53662801000,130106000000,584276484000.0,617165514000.0,183678037000,5059341425000,4893681778000,7623094297000,1443427263000,1293202919000,22000000000,0,2643807874000,3648398055000,4979286423000,2198949660000,1862205782000,572131434000,350466053000,1626818226000,1511739729000,1334573495000,1155080675000,292244731000,356659054000,338613481000,243010565000,377485321000,-501958730000,,,,2019
1985912656000,1365316449000,34612907000,10106000000,,,233666421000,5299924887000,5059341425000,8707032548000,2276222232000,1443427263000,505000000000,100000000000,3674740993000,3694780295000,5032291555000,2273151865000,2198949660000,844955068000,572131434000,1428196797000,1626818226000,1292332806000,1334573495000,135863991000,292244731000,146923035000,105056700000,259368187000,-1084687220000,,,,2020
1945333677000,1985912656000,46627837000,10106000000,,,364986675000,5297982760000,5299924887000,8969196456000,1978464235000,2276222232000,116000000000,120000000000,3743568385000,3869032323000,5225628071000,3572433182000,2273151865000,1232154240000,844955068000,2340278942000,1428196797000,2075913754000,1292332806000,264365188000,135863991000,316861267000,233388925000,500164435000,42114475000,,,,2021
3115547999000,1945333677000,195003256000,29647520000,,,706636681000,5613768497000,5297982760000,12069249655000,3660251198000,1978464235000,1037037073000,123264712000,5702018783000,4029644230000,6367230872000,5014123629000,3572433182000,1676674976000,1232154240000,3337448653000,2340278942000,3016519919000,2075913754000,320928734000,264365188000,246711565000,186026376000,489391894000,-1133155926000,,,,2022
3117505675000,3115547999000,164051282000,60173982000,,,612628881000,5607031024000,5613768497000,11712592639000,3446694246000,3660251198000,923977409000,298629945000,11712592639000,3907534501000,6279127722000,163065691000,95603220000,1714821302000,1676674976000,2492631593000,3337448653000,2189161830000,3016519919000,303469763000,320928734000,81398465000,-39776206000,757776058000,-595378111000,,,,2023
3046190875000,3117505675000,125922449000,6656000000,,,616780580000,5789606416000,5607031024000,11217721674000,3287978218000,3446694246000,558707868000,509728402000,11217721674000,3753684056000,6234443483000,112028210000,163065691000,1722201112000,1714821302000,2465413352000,2492631593000,2181370863000,2189161830000,284042489000,303469763000,6855878000,-753549000,733909144000,-192627852000,,,,2024
3082239468000,3046190875000,279878097000,1354271000,,,456105299000,5984317918000,5789606416000,11249807365000,3733719359000,3287978218000,925684884000,469808627000,11249807365000,3920130752000,6310743780000,105709691000,112028210000,1680438544000,1722201112000,2549882069000,2465413352000,2171934498000,2181370863000,377947571000,284042489000,-18172674000,141528509000,986166052000,-692601738000,,,,2025
